GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",B01003_001,55380,
01003,"Baldwin County, Alabama",B01003_001,212830,
01005,"Barbour County, Alabama",B01003_001,25361,
01007,"Bibb County, Alabama",B01003_001,22493,
01009,"Blount County, Alabama",B01003_001,57681,
01011,"Bullock County, Alabama",B01003_001,10248,
01013,"Butler County, Alabama",B01003_001,19828,
01015,"Calhoun County, Alabama",B01003_001,114618,
01017,"Chambers County, Alabama",B01003_001,33660,
01019,"Cherokee County, Alabama",B01003_001,25903,
01021,"Chilton County, Alabama",B01003_001,44055,
01023,"Choctaw County, Alabama",B01003_001,12925,
01025,"Clarke County, Alabama",B01003_001,24128,
01027,"Clay County, Alabama",B01003_001,13337,
01029,"Cleburne County, Alabama",B01003_001,14916,
01031,"Coffee County, Alabama",B01003_001,51662,
01033,"Colbert County, Alabama",B01003_001,54771,
01035,"Conecuh County, Alabama",B01003_001,12394,
01037,"Coosa County, Alabama",B01003_001,10757,
01039,"Covington County, Alabama",B01003_001,37200,
01041,"Crenshaw County, Alabama",B01003_001,13844,
01043,"Cullman County, Alabama",B01003_001,82853,
01045,"Dale County, Alabama",B01003_001,49277,
01047,"Dallas County, Alabama",B01003_001,39149,
01049,"DeKalb County, Alabama",B01003_001,71310,
01051,"Elmore County, Alabama",B01003_001,81144,
01053,"Escambia County, Alabama",B01003_001,37057,
01055,"Etowah County, Alabama",B01003_001,102748,
01057,"Fayette County, Alabama",B01003_001,16494,
01059,"Franklin County, Alabama",B01003_001,31466,
01061,"Geneva County, Alabama",B01003_001,26417,
01063,"Greene County, Alabama",B01003_001,8324,
01065,"Hale County, Alabama",B01003_001,14809,
01067,"Henry County, Alabama",B01003_001,17133,
01069,"Houston County, Alabama",B01003_001,104702,
01071,"Jackson County, Alabama",B01003_001,51852,
01073,"Jefferson County, Alabama",B01003_001,659680,
01075,"Lamar County, Alabama",B01003_001,13885,
01077,"Lauderdale County, Alabama",B01003_001,92556,
01079,"Lawrence County, Alabama",B01003_001,33058,
01081,"Lee County, Alabama",B01003_001,161152,
01083,"Limestone County, Alabama",B01003_001,94727,
01085,"Lowndes County, Alabama",B01003_001,10079,
01087,"Macon County, Alabama",B01003_001,18708,
01089,"Madison County, Alabama",B01003_001,362276,
01091,"Marengo County, Alabama",B01003_001,19321,
01093,"Marion County, Alabama",B01003_001,29866,
01095,"Marshall County, Alabama",B01003_001,95643,
01097,"Mobile County, Alabama",B01003_001,414114,
01099,"Monroe County, Alabama",B01003_001,21270,
01101,"Montgomery County, Alabama",B01003_001,226941,
01103,"Morgan County, Alabama",B01003_001,119213,
01105,"Perry County, Alabama",B01003_001,9293,
01107,"Pickens County, Alabama",B01003_001,20243,
01109,"Pike County, Alabama",B01003_001,33333,
01111,"Randolph County, Alabama",B01003_001,22647,
01113,"Russell County, Alabama",B01003_001,57952,
01115,"St. Clair County, Alabama",B01003_001,87989,
01117,"Shelby County, Alabama",B01003_001,213432,
01119,"Sumter County, Alabama",B01003_001,12797,
01121,"Talladega County, Alabama",B01003_001,80387,
01123,"Tallapoosa County, Alabama",B01003_001,40541,
01125,"Tuscaloosa County, Alabama",B01003_001,207305,
01127,"Walker County, Alabama",B01003_001,64110,
01129,"Washington County, Alabama",B01003_001,16541,
01131,"Wilcox County, Alabama",B01003_001,10681,
01133,"Winston County, Alabama",B01003_001,23784,
