GEOID,NAME,variable,estimate,moe
04001,"Apache County, Arizona",B01003_001,71511,
04003,"Cochise County, Arizona",B01003_001,125867,
04005,"Coconino County, Arizona",B01003_001,141274,
04007,"Gila County, Arizona",B01003_001,53546,
04009,"Graham County, Arizona",B01003_001,37996,
04011,"Greenlee County, Arizona",B01003_001,9522,
04012,"La Paz County, Arizona",B01003_001,20793,
04013,"Maricopa County, Arizona",B01003_001,4328810,
04015,"Mohave County, Arizona",B01003_001,207695,
04017,"Navajo County, Arizona",B01003_001,109270,
04019,"Pima County, Arizona",B01003_001,1027207,
04021,"Pinal County, Arizona",B01003_001,432793,
04023,"Santa Cruz County, Arizona",B01003_001,46480,
04025,"Yavapai County, Arizona",B01003_001,228067,
04027,"Yuma County, Arizona",B01003_001,209468,
