GEOID,NAME,variable,estimate,moe
05001,"Arkansas County, Arkansas",B01003_001,17914,
05003,"Ashley County, Arkansas",B01003_001,20270,
05005,"Baxter County, Arkansas",B01003_001,41427,
05007,"Benton County, Arkansas",B01003_001,265759,
05009,"Boone County, Arkansas",B01003_001,37331,
05011,"Bradley County, Arkansas",B01003_001,10874,
05013,"Calhoun County, Arkansas",B01003_001,5192,
05015,"Carroll County, Arkansas",B01003_001,27965,
05017,"Chicot County, Arkansas",B01003_001,10615,
05019,"Clark County, Arkansas",B01003_001,22386,
05021,"Clay County, Arkansas",B01003_001,14889,
05023,"Cleburne County, Arkansas",B01003_001,25100,
05025,"Cleveland County, Arkansas",B01003_001,8128,
05027,"Columbia County, Arkansas",B01003_001,23776,
05029,"Conway County, Arkansas",B01003_001,20858,
05031,"Craighead County, Arkansas",B01003_001,107345,
05033,"Crawford County, Arkansas",B01003_001,62739,
05035,"Crittenden County, Arkansas",B01003_001,48672,
05037,"Cross County, Arkansas",B01003_001,16824,
05039,"Dallas County, Arkansas",B01003_001,7279,
05041,"Desha County, Arkansas",B01003_001,11709,
05043,"Drew County, Arkansas",B01003_001,18417,
05045,"Faulkner County, Arkansas",B01003_001,123624,
05047,"Franklin County, Arkansas",B01003_001,17738,
05049,"Fulton County, Arkansas",B01003_001,12231,
05051,"Garland County, Arkansas",B01003_001,98555,
05053,"Grant County, Arkansas",B01003_001,18126,
05055,"Greene County, Arkansas",B01003_001,44937,
05057,"Hempstead County, Arkansas",B01003_001,21842,
05059,"Hot Spring County, Arkansas",B01003_001,33597,
05061,"Howard County, Arkansas",B01003_001,13311,
05063,"Independence County, Arkansas",B01003_001,37427,
05065,"Izard County, Arkansas",B01003_001,13570,
05067,"Jackson County, Arkansas",B01003_001,17027,
05069,"Jefferson County, Arkansas",B01003_001,69282,
05071,"Johnson County, Arkansas",B01003_001,26372,
05073,"Lafayette County, Arkansas",B01003_001,6800,
05075,"Lawrence County, Arkansas",B01003_001,16549,
05077,"Lee County, Arkansas",B01003_001,9194,
05079,"Lincoln County, Arkansas",B01003_001,13455,
05081,"Little River County, Arkansas",B01003_001,12347,
05083,"Logan County, Arkansas",B01003_001,21668,
05085,"Lonoke County, Arkansas",B01003_001,72528,
05087,"Madison County, Arkansas",B01003_001,16211,
05089,"Marion County, Arkansas",B01003_001,16476,
05091,"Miller County, Arkansas",B01003_001,43572,
05093,"Mississippi County, Arkansas",B01003_001,42126,
05095,"Monroe County, Arkansas",B01003_001,7050,
05097,"Montgomery County, Arkansas",B01003_001,8950,
05099,"Nevada County, Arkansas",B01003_001,8351,
05101,"Newton County, Arkansas",B01003_001,7812,
05103,"Ouachita County, Arkansas",B01003_001,23830,
05105,"Perry County, Arkansas",B01003_001,10355,
05107,"Phillips County, Arkansas",B01003_001,18606,
05109,"Pike County, Arkansas",B01003_001,10756,
05111,"Poinsett County, Arkansas",B01003_001,23896,
05113,"Polk County, Arkansas",B01003_001,20094,
05115,"Pope County, Arkansas",B01003_001,63761,
05117,"Prairie County, Arkansas",B01003_001,8189,
05119,"Pulaski County, Arkansas",B01003_001,392967,
05121,"Randolph County, Arkansas",B01003_001,17695,
05123,"St. Francis County, Arkansas",B01003_001,25900,
05125,"Saline County, Arkansas",B01003_001,119415,
05127,"Scott County, Arkansas",B01003_001,10376,
05129,"Searcy County, Arkansas",B01003_001,7908,
05131,"Sebastian County, Arkansas",B01003_001,127591,
05133,"Sevier County, Arkansas",B01003_001,17081,
05135,"Sharp County, Arkansas",B01003_001,17139,
05137,"Stone County, Arkansas",B01003_001,12475,
05139,"Union County, Arkansas",B01003_001,39449,
05141,"Van Buren County, Arkansas",B01003_001,16642,
05143,"Washington County, Arkansas",B01003_001,232289,
05145,"White County, Arkansas",B01003_001,78762,
05147,"Woodruff County, Arkansas",B01003_001,6533,
05149,"Yell County, Arkansas",B01003_001,21464,
