GEOID,NAME,variable,estimate,moe
06001,"Alameda County, California",B01003_001,1656754,
06003,"Alpine County, California",B01003_001,1039,161
06005,"Amador County, California",B01003_001,38429,
06007,"Butte County, California",B01003_001,225817,
06009,"Calaveras County, California",B01003_001,45514,
06011,"Colusa County, California",B01003_001,21454,
06013,"Contra Costa County, California",B01003_001,1142251,
06015,"Del Norte County, California",B01003_001,27495,
06017,"El Dorado County, California",B01003_001,188563,
06019,"Fresno County, California",B01003_001,984521,
06021,"Glenn County, California",B01003_001,27976,
06023,"Humboldt County, California",B01003_001,135940,
06025,"Imperial County, California",B01003_001,180701,
06027,"Inyo County, California",B01003_001,17977,
06029,"Kern County, California",B01003_001,887641,
06031,"Kings County, California",B01003_001,150691,
06033,"Lake County, California",B01003_001,64195,
06035,"Lassen County, California",B01003_001,30818,
06037,"Los Angeles County, California",B01003_001,10081570,
06039,"Madera County, California",B01003_001,155433,
06041,"Marin County, California",B01003_001,259943,
06043,"Mariposa County, California",B01003_001,17420,
06045,"Mendocino County, California",B01003_001,87224,
06047,"Merced County, California",B01003_001,271382,
06049,"Modoc County, California",B01003_001,8907,
06051,"Mono County, California",B01003_001,14310,
06053,"Monterey County, California",B01003_001,433410,
06055,"Napa County, California",B01003_001,139623,
06057,"Nevada County, California",B01003_001,99244,
06059,"Orange County, California",B01003_001,3168044,
06061,"Placer County, California",B01003_001,385512,
06063,"Plumas County, California",B01003_001,18660,
06065,"Riverside County, California",B01003_001,2411439,
06067,"Sacramento County, California",B01003_001,1524553,
06069,"San Benito County, California",B01003_001,60376,
06071,"San Bernardino County, California",B01003_001,2149031,
06073,"San Diego County, California",B01003_001,3316073,
06075,"San Francisco County, California",B01003_001,874961,
06077,"San Joaquin County, California",B01003_001,742603,
06079,"San Luis Obispo County, California",B01003_001,282165,
06081,"San Mateo County, California",B01003_001,767423,
06083,"Santa Barbara County, California",B01003_001,444829,
06085,"Santa Clara County, California",B01003_001,1927470,
06087,"Santa Cruz County, California",B01003_001,273962,
06089,"Shasta County, California",B01003_001,179212,
06091,"Sierra County, California",B01003_001,3040,161
06093,"Siskiyou County, California",B01003_001,43468,
06095,"Solano County, California",B01003_001,441829,
06097,"Sonoma County, California",B01003_001,499772,
06099,"Stanislaus County, California",B01003_001,543194,
06101,"Sutter County, California",B01003_001,96109,
06103,"Tehama County, California",B01003_001,63912,
06105,"Trinity County, California",B01003_001,12700,
06107,"Tulare County, California",B01003_001,461898,
06109,"Tuolumne County, California",B01003_001,54045,
06111,"Ventura County, California",B01003_001,847263,
06113,"Yolo County, California",B01003_001,217352,
06115,"Yuba County, California",B01003_001,76360,
