GEOID,NAME,variable,estimate,moe
08001,"Adams County, Colorado",B01003_001,504108,
08003,"Alamosa County, Colorado",B01003_001,16107,
08005,"Arapahoe County, Colorado",B01003_001,644560,
08007,"Archuleta County, Colorado",B01003_001,13253,
08009,"Baca County, Colorado",B01003_001,3561,
08011,"Bent County, Colorado",B01003_001,5787,
08013,"Boulder County, Colorado",B01003_001,322510,
08014,"Broomfield County, Colorado",B01003_001,67886,
08015,"Chaffee County, Colorado",B01003_001,19557,
08017,"Cheyenne County, Colorado",B01003_001,2026,186
08019,"Clear Creek County, Colorado",B01003_001,9495,
08021,"Conejos County, Colorado",B01003_001,8128,
08023,"Costilla County, Colorado",B01003_001,3745,
08025,"Crowley County, Colorado",B01003_001,5754,
08027,"Custer County, Colorado",B01003_001,4776,
08029,"Delta County, Colorado",B01003_001,30565,
08031,"Denver County, Colorado",B01003_001,705576,
08033,"Dolores County, Colorado",B01003_001,1857,186
08035,"Douglas County, Colorado",B01003_001,336041,
08037,"Eagle County, Colorado",B01003_001,54681,
08039,"Elbert County, Colorado",B01003_001,25717,
08041,"El Paso County, Colorado",B01003_001,698974,
08043,"Fremont County, Colorado",B01003_001,47321,
08045,"Garfield County, Colorado",B01003_001,59055,
08047,"Gilpin County, Colorado",B01003_001,6018,
08049,"Grand County, Colorado",B01003_001,15303,
08051,"Gunnison County, Colorado",B01003_001,16802,
08053,"Hinsdale County, Colorado",B01003_001,857,111
08055,"Huerfano County, Colorado",B01003_001,6679,
08057,"Jackson County, Colorado",B01003_001,1261,128
08059,"Jefferson County, Colorado",B01003_001,574798,
08061,"Kiowa County, Colorado",B01003_001,1489,128
08063,"Kit Carson County, Colorado",B01003_001,7447,
08065,"Lake County, Colorado",B01003_001,7751,
08067,"La Plata County, Colorado",B01003_001,55617,
08069,"Larimer County, Colorado",B01003_001,344786,
08071,"Las Animas County, Colorado",B01003_001,14266,
08073,"Lincoln County, Colorado",B01003_001,5585,
08075,"Logan County, Colorado",B01003_001,22380,
08077,"Mesa County, Colorado",B01003_001,151218,
08079,"Mineral County, Colorado",B01003_001,824,112
08081,"Moffat County, Colorado",B01003_001,13127,
08083,"Montezuma County, Colorado",B01003_001,26031,
08085,"Montrose County, Colorado",B01003_001,41686,
08087,"Morgan County, Colorado",B01003_001,28517,
08089,"Otero County, Colorado",B01003_001,18282,
08091,"Ouray County, Colorado",B01003_001,4796,
08093,"Park County, Colorado",B01003_001,17867,
08095,"Phillips County, Colorado",B01003_001,4290,
08097,"Pitkin County, Colorado",B01003_001,17926,
08099,"Prowers County, Colorado",B01003_001,12022,
08101,"Pueblo County, Colorado",B01003_001,165982,
08103,"Rio Blanco County, Colorado",B01003_001,6384,
08105,"Rio Grande County, Colorado",B01003_001,11305,
08107,"Routt County, Colorado",B01003_001,25072,
08109,"Saguache County, Colorado",B01003_001,6592,
08111,"San Juan County, Colorado",B01003_001,589,102
08113,"San Miguel County, Colorado",B01003_001,8049,
08115,"Sedgwick County, Colorado",B01003_001,2322,
08117,"Summit County, Colorado",B01003_001,30649,
08119,"Teller County, Colorado",B01003_001,24524,
08121,"Washington County, Colorado",B01003_001,4868,
08123,"Weld County, Colorado",B01003_001,305345,
08125,"Yuma County, Colorado",B01003_001,10003,
