GEOID,NAME,variable,estimate,moe
12001,"Alachua County, Florida",B01003_001,265443,
12003,"Baker County, Florida",B01003_001,28211,
12005,"Bay County, Florida",B01003_001,182161,
12007,"Bradford County, Florida",B01003_001,27317,
12009,"Brevard County, Florida",B01003_001,585507,
12011,"Broward County, Florida",B01003_001,1926205,
12013,"Calhoun County, Florida",B01003_001,14362,
12015,"Charlotte County, Florida",B01003_001,181067,
12017,"Citrus County, Florida",B01003_001,145169,
12019,"Clay County, Florida",B01003_001,211405,
12021,"Collier County, Florida",B01003_001,371453,
12023,"Columbia County, Florida",B01003_001,69968,
12027,"DeSoto County, Florida",B01003_001,36903,
12029,"Dixie County, Florida",B01003_001,16589,
12031,"Duval County, Florida",B01003_001,936186,
12033,"Escambia County, Florida",B01003_001,313491,
12035,"Flagler County, Florida",B01003_001,109801,
12037,"Franklin County, Florida",B01003_001,11811,
12039,"Gadsden County, Florida",B01003_001,45945,
12041,"Gilchrist County, Florida",B01003_001,17953,
12043,"Glades County, Florida",B01003_001,13516,
12045,"Gulf County, Florida",B01003_001,15576,
12047,"Hamilton County, Florida",B01003_001,14326,
12049,"Hardee County, Florida",B01003_001,27131,
12051,"Hendry County, Florida",B01003_001,40732,
12053,"Hernando County, Florida",B01003_001,186313,
12055,"Highlands County, Florida",B01003_001,103437,
12057,"Hillsborough County, Florida",B01003_001,1422278,
12059,"Holmes County, Florida",B01003_001,19432,
12061,"Indian River County, Florida",B01003_001,153989,
12063,"Jackson County, Florida",B01003_001,47945,
12065,"Jefferson County, Florida",B01003_001,14161,
12067,"Lafayette County, Florida",B01003_001,8637,
12069,"Lake County, Florida",B01003_001,345867,
12071,"Lee County, Florida",B01003_001,737468,
12073,"Leon County, Florida",B01003_001,289770,
12075,"Levy County, Florida",B01003_001,40403,
12077,"Liberty County, Florida",B01003_001,8345,
12079,"Madison County, Florida",B01003_001,18460,
12081,"Manatee County, Florida",B01003_001,384213,
12083,"Marion County, Florida",B01003_001,353526,
12085,"Martin County, Florida",B01003_001,159065,
12086,"Miami-Dade County, Florida",B01003_001,2699428,
12087,"Monroe County, Florida",B01003_001,75798,
12089,"Nassau County, Florida",B01003_001,83098,
12091,"Okaloosa County, Florida",B01003_001,203794,
12093,"Okeechobee County, Florida",B01003_001,41144,
12095,"Orange County, Florida",B01003_001,1349746,
12097,"Osceola County, Florida",B01003_001,351955,
12099,"Palm Beach County, Florida",B01003_001,1465027,
12101,"Pasco County, Florida",B01003_001,524602,
12103,"Pinellas County, Florida",B01003_001,964666,
12105,"Polk County, Florida",B01003_001,686218,
12107,"Putnam County, Florida",B01003_001,73252,
12109,"St. Johns County, Florida",B01003_001,244674,
12111,"St. Lucie County, Florida",B01003_001,312947,
12113,"Santa Rosa County, Florida",B01003_001,174755,
12115,"Sarasota County, Florida",B01003_001,419496,
12117,"Seminole County, Florida",B01003_001,461402,
12119,"Sumter County, Florida",B01003_001,125044,
12121,"Suwannee County, Florida",B01003_001,44046,
12123,"Taylor County, Florida",B01003_001,21870,
12125,"Union County, Florida",B01003_001,15303,
12127,"Volusia County, Florida",B01003_001,536487,
12129,"Wakulla County, Florida",B01003_001,32321,
12131,"Walton County, Florida",B01003_001,68262,
12133,"Washington County, Florida",B01003_001,24764,
