GEOID,NAME,variable,estimate,moe
13001,"Appling County, Georgia",B01003_001,18440,
13003,"Atkinson County, Georgia",B01003_001,8239,
13005,"Bacon County, Georgia",B01003_001,11201,
13007,"Baker County, Georgia",B01003_001,3132,
13009,"Baldwin County, Georgia",B01003_001,45111,
13011,"Banks County, Georgia",B01003_001,18708,
13013,"Barrow County, Georgia",B01003_001,78991,
13015,"Bartow County, Georgia",B01003_001,104919,
13017,"Ben Hill County, Georgia",B01003_001,17033,
13019,"Berrien County, Georgia",B01003_001,19152,
13021,"Bibb County, Georgia",B01003_001,153200,
13023,"Bleckley County, Georgia",B01003_001,12807,
13025,"Brantley County, Georgia",B01003_001,18756,
13027,"Brooks County, Georgia",B01003_001,15590,
13029,"Bryan County, Georgia",B01003_001,37063,
13031,"Bulloch County, Georgia",B01003_001,76120,
13033,"Burke County, Georgia",B01003_001,22520,
13035,"Butts County, Georgia",B01003_001,24090,
13037,"Calhoun County, Georgia",B01003_001,6365,
13039,"Camden County, Georgia",B01003_001,53231,
13043,"Candler County, Georgia",B01003_001,10812,
13045,"Carroll County, Georgia",B01003_001,117183,
13047,"Catoosa County, Georgia",B01003_001,66700,
13049,"Charlton County, Georgia",B01003_001,13040,
13051,"Chatham County, Georgia",B01003_001,288496,
13053,"Chattahoochee County, Georgia",B01003_001,10560,
13055,"Chattooga County, Georgia",B01003_001,24812,
13057,"Cherokee County, Georgia",B01003_001,247515,
13059,"Clarke County, Georgia",B01003_001,126176,
13061,"Clay County, Georgia",B01003_001,2951,
13063,"Clayton County, Georgia",B01003_001,283538,
13065,"Clinch County, Georgia",B01003_001,6686,
13067,"Cobb County, Georgia",B01003_001,751218,
13069,"Coffee County, Georgia",B01003_001,43021,
13071,"Colquitt County, Georgia",B01003_001,45486,
13073,"Columbia County, Georgia",B01003_001,150705,
13075,"Cook County, Georgia",B01003_001,17177,
13077,"Coweta County, Georgia",B01003_001,143260,
13079,"Crawford County, Georgia",B01003_001,12325,
13081,"Crisp County, Georgia",B01003_001,22713,
13083,"Dade County, Georgia",B01003_001,16197,
13085,"Dawson County, Georgia",B01003_001,24536,
13087,"Decatur County, Georgia",B01003_001,26682,
13089,"DeKalb County, Georgia",B01003_001,749323,
13091,"Dodge County, Georgia",B01003_001,20829,
13093,"Dooly County, Georgia",B01003_001,13736,
13095,"Dougherty County, Georgia",B01003_001,89703,
13097,"Douglas County, Georgia",B01003_001,143316,
13099,"Early County, Georgia",B01003_001,10312,
13101,"Echols County, Georgia",B01003_001,3981,
13103,"Effingham County, Georgia",B01003_001,60477,
13105,"Elbert County, Georgia",B01003_001,19166,
13107,"Emanuel County, Georgia",B01003_001,22533,
13109,"Evans County, Georgia",B01003_001,10687,
