GEOID,NAME,variable,estimate,moe
16001,"Ada County, Idaho",B01003_001,456849,
16003,"Adams County, Idaho",B01003_001,4097,
16005,"Bannock County, Idaho",B01003_001,85765,
16007,"Bear Lake County, Idaho",B01003_001,6000,
16009,"Benewah County, Idaho",B01003_001,9138,
16011,"Bingham County, Idaho",B01003_001,45839,
16013,"Blaine County, Idaho",B01003_001,22373,
16015,"Boise County, Idaho",B01003_001,7378,
16017,"Bonner County, Idaho",B01003_001,43611,
16019,"Bonneville County, Idaho",B01003_001,114392,
16021,"Boundary County, Idaho",B01003_001,11845,
16023,"Butte County, Idaho",B01003_001,2581,
16025,"Camas County, Idaho",B01003_001,1048,125
16027,"Canyon County, Idaho",B01003_001,217633,
16029,"Caribou County, Idaho",B01003_001,6953,
16031,"Cassia County, Idaho",B01003_001,23690,
16033,"Clark County, Idaho",B01003_001,913,125
16035,"Clearwater County, Idaho",B01003_001,8673,
16037,"Custer County, Idaho",B01003_001,4169,
16039,"Elmore County, Idaho",B01003_001,26743,
16041,"Franklin County, Idaho",B01003_001,13464,
16043,"Fremont County, Idaho",B01003_001,13020,
16045,"Gem County, Idaho",B01003_001,17331,
16047,"Gooding County, Idaho",B01003_001,15148,
16049,"Idaho County, Idaho",B01003_001,16411,
16051,"Jefferson County, Idaho",B01003_001,28534,
16053,"Jerome County, Idaho",B01003_001,23730,
16055,"Kootenai County, Idaho",B01003_001,157322,
16057,"Latah County, Idaho",B01003_001,39505,
16059,"Lemhi County, Idaho",B01003_001,7847,
16061,"Lewis County, Idaho",B01003_001,3838,
16063,"Lincoln County, Idaho",B01003_001,5350,
16065,"Madison County, Idaho",B01003_001,39100,
16067,"Minidoka County, Idaho",B01003_001,20705,
16069,"Nez Perce County, Idaho",B01003_001,40217,
16071,"Oneida County, Idaho",B01003_001,4385,
16073,"Owyhee County, Idaho",B01003_001,11552,
16075,"Payette County, Idaho",B01003_001,23260,
16077,"Power County, Idaho",B01003_001,7671,
16079,"Shoshone County, Idaho",B01003_001,12609,
16081,"Teton County, Idaho",B01003_001,11426,
16083,"Twin Falls County, Idaho",B01003_001,84869,
16085,"Valley County, Idaho",B01003_001,10709,
16087,"Washington County, Idaho",B01003_001,10057,
