GEOID,NAME,variable,estimate,moe
17001,"Adams County, Illinois",B01003_001,66085,
17003,"Alexander County, Illinois",B01003_001,6260,
17005,"Bond County, Illinois",B01003_001,16589,
17007,"Boone County, Illinois",B01003_001,53537,
17009,"Brown County, Illinois",B01003_001,6628,
17011,"Bureau County, Illinois",B01003_001,33122,
17013,"Calhoun County, Illinois",B01003_001,4830,
17015,"Carroll County, Illinois",B01003_001,14466,
17017,"Cass County, Illinois",B01003_001,12493,
17019,"Champaign County, Illinois",B01003_001,209922,
17021,"Christian County, Illinois",B01003_001,32931,
17023,"Clark County, Illinois",B01003_001,15716,
17025,"Clay County, Illinois",B01003_001,13287,
17027,"Clinton County, Illinois",B01003_001,37634,
17029,"Coles County, Illinois",B01003_001,51353,
17031,"Cook County, Illinois",B01003_001,5198275,
17033,"Crawford County, Illinois",B01003_001,18972,
17035,"Cumberland County, Illinois",B01003_001,10836,
17037,"DeKalb County, Illinois",B01003_001,104366,
17039,"De Witt County, Illinois",B01003_001,15932,
17041,"Douglas County, Illinois",B01003_001,19623,
17043,"DuPage County, Illinois",B01003_001,929060,
17045,"Edgar County, Illinois",B01003_001,17407,
17047,"Edwards County, Illinois",B01003_001,6455,
17049,"Effingham County, Illinois",B01003_001,34137,
17051,"Fayette County, Illinois",B01003_001,21565,
17053,"Ford County, Illinois",B01003_001,13270,
17055,"Franklin County, Illinois",B01003_001,38923,
17057,"Fulton County, Illinois",B01003_001,35092,
17059,"Gallatin County, Illinois",B01003_001,5064,
17061,"Greene County, Illinois",B01003_001,13132,
17063,"Grundy County, Illinois",B01003_001,50666,
17065,"Hamilton County, Illinois",B01003_001,8176,
17067,"Hancock County, Illinois",B01003_001,17983,
17069,"Hardin County, Illinois",B01003_001,3939,
17071,"Henderson County, Illinois",B01003_001,6809,
17073,"Henry County, Illinois",B01003_001,49267,
17075,"Iroquois County, Illinois",B01003_001,27812,
17077,"Jackson County, Illinois",B01003_001,57977,
17079,"Jasper County, Illinois",B01003_001,9594,
17081,"Jefferson County, Illinois",B01003_001,37985,
17083,"Jersey County, Illinois",B01003_001,21937,
17085,"Jo Daviess County, Illinois",B01003_001,21588,
17087,"Johnson County, Illinois",B01003_001,12494,
17089,"Kane County, Illinois",B01003_001,531376,
17091,"Kankakee County, Illinois",B01003_001,110637,
17093,"Kendall County, Illinois",B01003_001,126054,
17095,"Knox County, Illinois",B01003_001,50508,
17097,"Lake County, Illinois",B01003_001,701473,
17099,"LaSalle County, Illinois",B01003_001,109737,
17101,"Lawrence County, Illinois",B01003_001,16033,
17103,"Lee County, Illinois",B01003_001,34389,
17105,"Livingston County, Illinois",B01003_001,36040,
17107,"Logan County, Illinois",B01003_001,29003,
17109,"McDonough County, Illinois",B01003_001,30479,
17111,"McHenry County, Illinois",B01003_001,307714,
17113,"McLean County, Illinois",B01003_001,172578,
17115,"Macon County, Illinois",B01003_001,105528,
17117,"Macoupin County, Illinois",B01003_001,45463,
17119,"Madison County, Illinois",B01003_001,264776,
17121,"Marion County, Illinois",B01003_001,37743,
17123,"Marshall County, Illinois",B01003_001,11679,
17125,"Mason County, Illinois",B01003_001,13621,
17127,"Massac County, Illinois",B01003_001,14219,
17129,"Menard County, Illinois",B01003_001,12306,
17131,"Mercer County, Illinois",B01003_001,15589,
17133,"Monroe County, Illinois",B01003_001,34168,
17135,"Montgomery County, Illinois",B01003_001,28828,
17137,"Morgan County, Illinois",B01003_001,34247,
17139,"Moultrie County, Illinois",B01003_001,14641,
17141,"Ogle County, Illinois",B01003_001,51025,
17143,"Peoria County, Illinois",B01003_001,182770,
17145,"Perry County, Illinois",B01003_001,21251,
17147,"Piatt County, Illinois",B01003_001,16401,
17149,"Pike County, Illinois",B01003_001,15672,
17151,"Pope County, Illinois",B01003_001,4203,
17153,"Pulaski County, Illinois",B01003_001,5510,
17155,"Putnam County, Illinois",B01003_001,5721,
17157,"Randolph County, Illinois",B01003_001,32295,
17159,"Richland County, Illinois",B01003_001,15766,
17161,"Rock Island County, Illinois",B01003_001,143873,
17163,"St. Clair County, Illinois",B01003_001,262338,
17165,"Saline County, Illinois",B01003_001,23994,
17167,"Sangamon County, Illinois",B01003_001,196861,
17169,"Schuyler County, Illinois",B01003_001,6953,
17171,"Scott County, Illinois",B01003_001,5005,
17173,"Shelby County, Illinois",B01003_001,21737,
17175,"Stark County, Illinois",B01003_001,5447,
17177,"Stephenson County, Illinois",B01003_001,45093,
17179,"Tazewell County, Illinois",B01003_001,133195,
17181,"Union County, Illinois",B01003_001,16968,
17183,"Vermilion County, Illinois",B01003_001,77563,
17185,"Wabash County, Illinois",B01003_001,11546,
17187,"Warren County, Illinois",B01003_001,17146,
17189,"Washington County, Illinois",B01003_001,14058,
17191,"Wayne County, Illinois",B01003_001,16402,
17193,"White County, Illinois",B01003_001,13868,
17195,"Whiteside County, Illinois",B01003_001,56016,
17197,"Will County, Illinois",B01003_001,689315,
17199,"Williamson County, Illinois",B01003_001,67102,
17201,"Winnebago County, Illinois",B01003_001,284819,
17203,"Woodford County, Illinois",B01003_001,38700,
