GEOID,NAME,variable,estimate,moe
18001,"Adams County, Indiana",B01003_001,35376,
18003,"Allen County, Indiana",B01003_001,372575,
18005,"Bartholomew County, Indiana",B01003_001,82481,
18007,"Benton County, Indiana",B01003_001,8677,
18009,"Blackford County, Indiana",B01003_001,12013,
18011,"Boone County, Indiana",B01003_001,65544,
18013,"Brown County, Indiana",B01003_001,15064,
18015,"Carroll County, Indiana",B01003_001,20074,
18017,"Cass County, Indiana",B01003_001,37880,
18019,"Clark County, Indiana",B01003_001,116507,
18021,"Clay County, Indiana",B01003_001,26234,
18023,"Clinton County, Indiana",B01003_001,32273,
18025,"Crawford County, Indiana",B01003_001,10569,
18027,"Daviess County, Indiana",B01003_001,33120,
18029,"Dearborn County, Indiana",B01003_001,49479,
18031,"Decatur County, Indiana",B01003_001,26562,
18033,"DeKalb County, Indiana",B01003_001,42927,
18035,"Delaware County, Indiana",B01003_001,115020,
18037,"Dubois County, Indiana",B01003_001,42543,
18039,"Elkhart County, Indiana",B01003_001,204558,
18041,"Fayette County, Indiana",B01003_001,23194,
18043,"Floyd County, Indiana",B01003_001,77320,
18045,"Fountain County, Indiana",B01003_001,16430,
18047,"Franklin County, Indiana",B01003_001,22774,
18049,"Fulton County, Indiana",B01003_001,20096,
18051,"Gibson County, Indiana",B01003_001,33656,
18053,"Grant County, Indiana",B01003_001,66452,
18055,"Greene County, Indiana",B01003_001,32159,
18057,"Hamilton County, Indiana",B01003_001,323117,
18059,"Hancock County, Indiana",B01003_001,75164,
18061,"Harrison County, Indiana",B01003_001,39940,
18063,"Hendricks County, Indiana",B01003_001,163799,
18065,"Henry County, Indiana",B01003_001,48255,
18067,"Howard County, Indiana",B01003_001,82331,
18069,"Huntington County, Indiana",B01003_001,36359,
18071,"Jackson County, Indiana",B01003_001,44025,
18073,"Jasper County, Indiana",B01003_001,33447,
18075,"Jay County, Indiana",B01003_001,20840,
18077,"Jefferson County, Indiana",B01003_001,32201,
18079,"Jennings County, Indiana",B01003_001,27710,
18081,"Johnson County, Indiana",B01003_001,153716,
18083,"Knox County, Indiana",B01003_001,37065,
18085,"Kosciusko County, Indiana",B01003_001,79035,
18087,"LaGrange County, Indiana",B01003_001,39193,
18089,"Lake County, Indiana",B01003_001,485707,
18091,"LaPorte County, Indiana",B01003_001,110154,
18093,"Lawrence County, Indiana",B01003_001,45548,
18095,"Madison County, Indiana",B01003_001,129455,
18097,"Marion County, Indiana",B01003_001,951869,
18099,"Marshall County, Indiana",B01003_001,46461,
18101,"Martin County, Indiana",B01003_001,10212,
18103,"Miami County, Indiana",B01003_001,35815,
18105,"Monroe County, Indiana",B01003_001,146461,
18107,"Montgomery County, Indiana",B01003_001,38287,
18109,"Morgan County, Indiana",B01003_001,69922,
18111,"Newton County, Indiana",B01003_001,13992,
18113,"Noble County, Indiana",B01003_001,47506,
18115,"Ohio County, Indiana",B01003_001,5874,
18117,"Orange County, Indiana",B01003_001,19545,
18119,"Owen County, Indiana",B01003_001,20835,
18121,"Parke County, Indiana",B01003_001,16946,
18123,"Perry County, Indiana",B01003_001,19102,
18125,"Pike County, Indiana",B01003_001,12378,
18127,"Porter County, Indiana",B01003_001,168636,
18129,"Posey County, Indiana",B01003_001,25560,
18131,"Pulaski County, Indiana",B01003_001,12559,
18133,"Putnam County, Indiana",B01003_001,37384,
18135,"Randolph County, Indiana",B01003_001,24926,
18137,"Ripley County, Indiana",B01003_001,28391,
18139,"Rush County, Indiana",B01003_001,16641,
18141,"St. Joseph County, Indiana",B01003_001,270216,
18143,"Scott County, Indiana",B01003_001,23759,
18145,"Shelby County, Indiana",B01003_001,44438,
18147,"Spencer County, Indiana",B01003_001,20447,
18149,"Starke County, Indiana",B01003_001,22952,
18151,"Steuben County, Indiana",B01003_001,34453,
18153,"Sullivan County, Indiana",B01003_001,20730,
18155,"Switzerland County, Indiana",B01003_001,10685,
18157,"Tippecanoe County, Indiana",B01003_001,191553,
18159,"Tipton County, Indiana",B01003_001,15162,
18161,"Union County, Indiana",B01003_001,7113,
18163,"Vanderburgh County, Indiana",B01003_001,181291,
18165,"Vermillion County, Indiana",B01003_001,15539,
18167,"Vigo County, Indiana",B01003_001,107459,
18169,"Wabash County, Indiana",B01003_001,31389,
18171,"Warren County, Indiana",B01003_001,8237,
18173,"Warrick County, Indiana",B01003_001,62280,
18175,"Washington County, Indiana",B01003_001,27848,
18177,"Wayne County, Indiana",B01003_001,66342,
18179,"Wells County, Indiana",B01003_001,28011,
18181,"White County, Indiana",B01003_001,24149,
18183,"Whitley County, Indiana",B01003_001,33730,
