GEOID,NAME,variable,estimate,moe
19001,"Adair County, Iowa",B01003_001,7085,
19003,"Adams County, Iowa",B01003_001,3670,
19005,"Allamakee County, Iowa",B01003_001,13813,
19007,"Appanoose County, Iowa",B01003_001,12452,
19009,"Audubon County, Iowa",B01003_001,5571,
19011,"Benton County, Iowa",B01003_001,25636,
19013,"Black Hawk County, Iowa",B01003_001,132393,
19015,"Boone County, Iowa",B01003_001,26370,
19017,"Bremer County, Iowa",B01003_001,24864,
19019,"Buchanan County, Iowa",B01003_001,21118,
19021,"Buena Vista County, Iowa",B01003_001,20058,
19023,"Butler County, Iowa",B01003_001,14628,
19025,"Calhoun County, Iowa",B01003_001,9744,
19027,"Carroll County, Iowa",B01003_001,20281,
19029,"Cass County, Iowa",B01003_001,13091,
19031,"Cedar County, Iowa",B01003_001,18457,
19033,"Cerro Gordo County, Iowa",B01003_001,42834,
19035,"Cherokee County, Iowa",B01003_001,11343,
19037,"Chickasaw County, Iowa",B01003_001,12026,
19039,"Clarke County, Iowa",B01003_001,9360,
19041,"Clay County, Iowa",B01003_001,16211,
19043,"Clayton County, Iowa",B01003_001,17625,
19045,"Clinton County, Iowa",B01003_001,46909,
19047,"Crawford County, Iowa",B01003_001,17034,
19049,"Dallas County, Iowa",B01003_001,87099,
19051,"Davis County, Iowa",B01003_001,8920,
19053,"Decatur County, Iowa",B01003_001,7979,
19055,"Delaware County, Iowa",B01003_001,17183,
19057,"Des Moines County, Iowa",B01003_001,39386,
19059,"Dickinson County, Iowa",B01003_001,17127,
19061,"Dubuque County, Iowa",B01003_001,96982,
19063,"Emmet County, Iowa",B01003_001,9438,
19065,"Fayette County, Iowa",B01003_001,19803,
19067,"Floyd County, Iowa",B01003_001,15786,
19069,"Franklin County, Iowa",B01003_001,10162,
19071,"Fremont County, Iowa",B01003_001,6946,
19073,"Greene County, Iowa",B01003_001,8950,
19075,"Grundy County, Iowa",B01003_001,12299,
19077,"Guthrie County, Iowa",B01003_001,10669,
19079,"Hamilton County, Iowa",B01003_001,14997,
19081,"Hancock County, Iowa",B01003_001,10802,
19083,"Hardin County, Iowa",B01003_001,17061,
19085,"Harrison County, Iowa",B01003_001,14089,
19087,"Henry County, Iowa",B01003_001,19941,
19089,"Howard County, Iowa",B01003_001,9226,
19091,"Humboldt County, Iowa",B01003_001,9554,
19093,"Ida County, Iowa",B01003_001,6901,
19095,"Iowa County, Iowa",B01003_001,16189,
19097,"Jackson County, Iowa",B01003_001,19401,
19099,"Jasper County, Iowa",B01003_001,36971,
19101,"Jefferson County, Iowa",B01003_001,18148,
19103,"Johnson County, Iowa",B01003_001,148577,
19105,"Jones County, Iowa",B01003_001,20559,
19107,"Keokuk County, Iowa",B01003_001,10188,
19109,"Kossuth County, Iowa",B01003_001,14978,
19111,"Lee County, Iowa",B01003_001,34227,
19113,"Linn County, Iowa",B01003_001,223861,
19115,"Louisa County, Iowa",B01003_001,11178,
19117,"Lucas County, Iowa",B01003_001,8583,
19119,"Lyon County, Iowa",B01003_001,11776,
19121,"Madison County, Iowa",B01003_001,16012,
19123,"Mahaska County, Iowa",B01003_001,22164,
19125,"Marion County, Iowa",B01003_001,33172,
19127,"Marshall County, Iowa",B01003_001,39964,
19129,"Mills County, Iowa",B01003_001,15034,
19131,"Mitchell County, Iowa",B01003_001,10608,
19133,"Monona County, Iowa",B01003_001,8730,
19135,"Monroe County, Iowa",B01003_001,7807,
19137,"Montgomery County, Iowa",B01003_001,10053,
19139,"Muscatine County, Iowa",B01003_001,42889,
19141,"O'Brien County, Iowa",B01003_001,13835,
19143,"Osceola County, Iowa",B01003_001,6052,
19145,"Page County, Iowa",B01003_001,15268,
19147,"Palo Alto County, Iowa",B01003_001,9003,
19149,"Plymouth County, Iowa",B01003_001,25068,
19151,"Pocahontas County, Iowa",B01003_001,6797,
19153,"Polk County, Iowa",B01003_001,479612,
19155,"Pottawattamie County, Iowa",B01003_001,93393,
19157,"Poweshiek County, Iowa",B01003_001,18388,
19159,"Ringgold County, Iowa",B01003_001,4964,
19161,"Sac County, Iowa",B01003_001,9802,
19163,"Scott County, Iowa",B01003_001,172446,
19165,"Shelby County, Iowa",B01003_001,11606,
19167,"Sioux County, Iowa",B01003_001,34827,
19169,"Story County, Iowa",B01003_001,96941,
19171,"Tama County, Iowa",B01003_001,17032,
19173,"Taylor County, Iowa",B01003_001,6167,
19175,"Union County, Iowa",B01003_001,12358,
19177,"Van Buren County, Iowa",B01003_001,7150,
19179,"Wapello County, Iowa",B01003_001,35141,
19181,"Warren County, Iowa",B01003_001,50076,
19183,"Washington County, Iowa",B01003_001,22100,
19185,"Wayne County, Iowa",B01003_001,6429,
19187,"Webster County, Iowa",B01003_001,36545,
19189,"Winnebago County, Iowa",B01003_001,10534,
19191,"Winneshiek County, Iowa",B01003_001,20262,
19193,"Woodbury County, Iowa",B01003_001,102586,
19195,"Worth County, Iowa",B01003_001,7445,
19197,"Wright County, Iowa",B01003_001,12739,
