GEOID,NAME,variable,estimate,moe
20001,"Allen County, Kansas",B01003_001,12556,
20003,"Anderson County, Kansas",B01003_001,7835,
20005,"Atchison County, Kansas",B01003_001,16268,
20007,"Barber County, Kansas",B01003_001,4624,147
20009,"Barton County, Kansas",B01003_001,26453,
20011,"Bourbon County, Kansas",B01003_001,14608,
20013,"Brown County, Kansas",B01003_001,9626,
20015,"Butler County, Kansas",B01003_001,66698,
20017,"Chase County, Kansas",B01003_001,2637,
20019,"Chautauqua County, Kansas",B01003_001,3323,
20021,"Cherokee County, Kansas",B01003_001,20179,
20023,"Cheyenne County, Kansas",B01003_001,2665,
20025,"Clark County, Kansas",B01003_001,2026,
20027,"Clay County, Kansas",B01003_001,8082,
20029,"Cloud County, Kansas",B01003_001,8938,
20031,"Coffey County, Kansas",B01003_001,8254,
20033,"Comanche County, Kansas",B01003_001,1740,147
20035,"Cowley County, Kansas",B01003_001,35351,
20037,"Crawford County, Kansas",B01003_001,38968,
20039,"Decatur County, Kansas",B01003_001,2860,
20041,"Dickinson County, Kansas",B01003_001,18828,
20043,"Doniphan County, Kansas",B01003_001,7684,
20045,"Douglas County, Kansas",B01003_001,120290,
20047,"Edwards County, Kansas",B01003_001,2869,
20049,"Elk County, Kansas",B01003_001,2523,
20051,"Ellis County, Kansas",B01003_001,28775,
20053,"Ellsworth County, Kansas",B01003_001,6231,
20055,"Finney County, Kansas",B01003_001,36750,
20057,"Ford County, Kansas",B01003_001,34179,
20059,"Franklin County, Kansas",B01003_001,25558,
20061,"Geary County, Kansas",B01003_001,34025,
20063,"Gove County, Kansas",B01003_001,2644,133
20065,"Graham County, Kansas",B01003_001,2519,
20067,"Grant County, Kansas",B01003_001,7467,
20069,"Gray County, Kansas",B01003_001,6039,
20071,"Greeley County, Kansas",B01003_001,1185,110
20073,"Greenwood County, Kansas",B01003_001,6081,
20075,"Hamilton County, Kansas",B01003_001,2591,
20077,"Harper County, Kansas",B01003_001,5594,
20079,"Harvey County, Kansas",B01003_001,34503,
20081,"Haskell County, Kansas",B01003_001,4018,
20083,"Hodgeman County, Kansas",B01003_001,1876,134
20085,"Jackson County, Kansas",B01003_001,13266,
20087,"Jefferson County, Kansas",B01003_001,18890,
20089,"Jewell County, Kansas",B01003_001,2885,
20091,"Johnson County, Kansas",B01003_001,591506,
20093,"Kearny County, Kansas",B01003_001,3907,
20095,"Kingman County, Kansas",B01003_001,7340,
20097,"Kiowa County, Kansas",B01003_001,2505,
20099,"Labette County, Kansas",B01003_001,20119,
20101,"Lane County, Kansas",B01003_001,1564,133
20103,"Leavenworth County, Kansas",B01003_001,80745,
20105,"Lincoln County, Kansas",B01003_001,3044,
20107,"Linn County, Kansas",B01003_001,9671,
20109,"Logan County, Kansas",B01003_001,2805,
20111,"Lyon County, Kansas",B01003_001,33251,
20113,"McPherson County, Kansas",B01003_001,28567,
20115,"Marion County, Kansas",B01003_001,11964,
20117,"Marshall County, Kansas",B01003_001,9749,
20119,"Meade County, Kansas",B01003_001,4180,
20121,"Miami County, Kansas",B01003_001,33417,
20123,"Mitchell County, Kansas",B01003_001,6145,
20125,"Montgomery County, Kansas",B01003_001,32521,
20127,"Morris County, Kansas",B01003_001,5566,
20129,"Morton County, Kansas",B01003_001,2754,
20131,"Nemaha County, Kansas",B01003_001,10121,
20133,"Neosho County, Kansas",B01003_001,16108,
20135,"Ness County, Kansas",B01003_001,2876,
20137,"Norton County, Kansas",B01003_001,5446,
20139,"Osage County, Kansas",B01003_001,15881,
20141,"Osborne County, Kansas",B01003_001,3530,
20143,"Ottawa County, Kansas",B01003_001,5822,
20145,"Pawnee County, Kansas",B01003_001,6629,
20147,"Phillips County, Kansas",B01003_001,5340,
20149,"Pottawatomie County, Kansas",B01003_001,23847,
20151,"Pratt County, Kansas",B01003_001,9452,
20153,"Rawlins County, Kansas",B01003_001,2502,
20155,"Reno County, Kansas",B01003_001,62765,
20157,"Republic County, Kansas",B01003_001,4658,
20159,"Rice County, Kansas",B01003_001,9658,
20161,"Riley County, Kansas",B01003_001,75056,
20163,"Rooks County, Kansas",B01003_001,5053,
20165,"Rush County, Kansas",B01003_001,3022,134
20167,"Russell County, Kansas",B01003_001,6948,
20169,"Saline County, Kansas",B01003_001,54701,
20171,"Scott County, Kansas",B01003_001,4917,
20173,"Sedgwick County, Kansas",B01003_001,513375,
20175,"Seward County, Kansas",B01003_001,22349,
20177,"Shawnee County, Kansas",B01003_001,177852,
20179,"Sheridan County, Kansas",B01003_001,2506,
20181,"Sherman County, Kansas",B01003_001,5938,
20183,"Smith County, Kansas",B01003_001,3627,
20185,"Stafford County, Kansas",B01003_001,4181,
20187,"Stanton County, Kansas",B01003_001,2052,
20189,"Stevens County, Kansas",B01003_001,5603,
20191,"Sumner County, Kansas",B01003_001,23114,
20193,"Thomas County, Kansas",B01003_001,7810,
20195,"Trego County, Kansas",B01003_001,2840,
20197,"Wabaunsee County, Kansas",B01003_001,6889,
20199,"Wallace County, Kansas",B01003_001,1574,110
20201,"Washington County, Kansas",B01003_001,5493,
20203,"Wichita County, Kansas",B01003_001,2130,
20205,"Wilson County, Kansas",B01003_001,8688,
20207,"Woodson County, Kansas",B01003_001,3157,
20209,"Wyandotte County, Kansas",B01003_001,164861,
