GEOID,NAME,variable,estimate,moe
21001,"Adair County, Kentucky",B01003_001,19222,
21003,"Allen County, Kentucky",B01003_001,20944,
21005,"Anderson County, Kentucky",B01003_001,22409,
21007,"Ballard County, Kentucky",B01003_001,8032,
21009,"Barren County, Kentucky",B01003_001,43884,
21011,"Bath County, Kentucky",B01003_001,12355,
21013,"Bell County, Kentucky",B01003_001,26791,
21015,"Boone County, Kentucky",B01003_001,130820,
21017,"Bourbon County, Kentucky",B01003_001,20058,
21019,"Boyd County, Kentucky",B01003_001,47682,
21021,"Boyle County, Kentucky",B01003_001,29972,
21023,"Bracken County, Kentucky",B01003_001,8305,
21025,"Breathitt County, Kentucky",B01003_001,12977,
21027,"Breckinridge County, Kentucky",B01003_001,20176,
21029,"Bullitt County, Kentucky",B01003_001,80171,
21031,"Butler County, Kentucky",B01003_001,12764,
21033,"Caldwell County, Kentucky",B01003_001,12702,
21035,"Calloway County, Kentucky",B01003_001,38837,
21037,"Campbell County, Kentucky",B01003_001,92861,
21039,"Carlisle County, Kentucky",B01003_001,4784,
21041,"Carroll County, Kentucky",B01003_001,10671,
21043,"Carter County, Kentucky",B01003_001,27159,
21045,"Casey County, Kentucky",B01003_001,15885,
21047,"Christian County, Kentucky",B01003_001,71414,
21049,"Clark County, Kentucky",B01003_001,35971,
21051,"Clay County, Kentucky",B01003_001,20368,
21053,"Clinton County, Kentucky",B01003_001,10193,
21055,"Crittenden County, Kentucky",B01003_001,9000,
21057,"Cumberland County, Kentucky",B01003_001,6697,
21059,"Daviess County, Kentucky",B01003_001,100474,
21061,"Edmonson County, Kentucky",B01003_001,12138,
21063,"Elliott County, Kentucky",B01003_001,7510,
21065,"Estill County, Kentucky",B01003_001,14224,
21067,"Fayette County, Kentucky",B01003_001,320601,
21069,"Fleming County, Kentucky",B01003_001,14513,
21071,"Floyd County, Kentucky",B01003_001,36456,
21073,"Franklin County, Kentucky",B01003_001,50529,
21075,"Fulton County, Kentucky",B01003_001,6130,
21077,"Gallatin County, Kentucky",B01003_001,8737,
21079,"Garrard County, Kentucky",B01003_001,17445,
21081,"Grant County, Kentucky",B01003_001,24951,
21083,"Graves County, Kentucky",B01003_001,37248,
21085,"Grayson County, Kentucky",B01003_001,26247,
21087,"Green County, Kentucky",B01003_001,10979,
21089,"Greenup County, Kentucky",B01003_001,35555,
21091,"Hancock County, Kentucky",B01003_001,8720,
21093,"Hardin County, Kentucky",B01003_001,108527,
21095,"Harlan County, Kentucky",B01003_001,26699,
21097,"Harrison County, Kentucky",B01003_001,18722,
21099,"Hart County, Kentucky",B01003_001,18729,
