GEOID,NAME,variable,estimate,moe
22001,"Acadia Parish, Louisiana",B01003_001,62457,
22003,"Allen Parish, Louisiana",B01003_001,25618,
22005,"Ascension Parish, Louisiana",B01003_001,123114,
22007,"Assumption Parish, Louisiana",B01003_001,22478,
22009,"Avoyelles Parish, Louisiana",B01003_001,40669,
22011,"Beauregard Parish, Louisiana",B01003_001,37043,
22013,"Bienville Parish, Louisiana",B01003_001,13564,
22015,"Bossier Parish, Louisiana",B01003_001,126499,
22017,"Caddo Parish, Louisiana",B01003_001,245831,
22019,"Calcasieu Parish, Louisiana",B01003_001,201619,
22021,"Caldwell Parish, Louisiana",B01003_001,9992,
22023,"Cameron Parish, Louisiana",B01003_001,6930,
22025,"Catahoula Parish, Louisiana",B01003_001,9766,
22027,"Claiborne Parish, Louisiana",B01003_001,15985,
22029,"Concordia Parish, Louisiana",B01003_001,19778,
22031,"De Soto Parish, Louisiana",B01003_001,27289,
22033,"East Baton Rouge Parish, Louisiana",B01003_001,443763,
22035,"East Carroll Parish, Louisiana",B01003_001,7096,
22037,"East Feliciana Parish, Louisiana",B01003_001,19371,
22039,"Evangeline Parish, Louisiana",B01003_001,33589,
22041,"Franklin Parish, Louisiana",B01003_001,20238,
22043,"Grant Parish, Louisiana",B01003_001,22340,
22045,"Iberia Parish, Louisiana",B01003_001,71887,
22047,"Iberville Parish, Louisiana",B01003_001,32822,
22049,"Jackson Parish, Louisiana",B01003_001,15879,
22051,"Jefferson Parish, Louisiana",B01003_001,434850,
22053,"Jefferson Davis Parish, Louisiana",B01003_001,31441,
22055,"Lafayette Parish, Louisiana",B01003_001,241973,
22057,"Lafourche Parish, Louisiana",B01003_001,98108,
22059,"LaSalle Parish, Louisiana",B01003_001,14936,
22061,"Lincoln Parish, Louisiana",B01003_001,47246,
22063,"Livingston Parish, Louisiana",B01003_001,138928,
22065,"Madison Parish, Louisiana",B01003_001,11306,
22067,"Morehouse Parish, Louisiana",B01003_001,25610,
22069,"Natchitoches Parish, Louisiana",B01003_001,38769,
22071,"Orleans Parish, Louisiana",B01003_001,390845,
22073,"Ouachita Parish, Louisiana",B01003_001,155494,
22075,"Plaquemines Parish, Louisiana",B01003_001,23338,
22077,"Pointe Coupee Parish, Louisiana",B01003_001,22016,
22079,"Rapides Parish, Louisiana",B01003_001,130970,
22081,"Red River Parish, Louisiana",B01003_001,8565,
22083,"Richland Parish, Louisiana",B01003_001,20350,
22085,"Sabine Parish, Louisiana",B01003_001,23991,
22087,"St. Bernard Parish, Louisiana",B01003_001,46266,
22089,"St. Charles Parish, Louisiana",B01003_001,52773,
22091,"St. Helena Parish, Louisiana",B01003_001,10297,
22093,"St. James Parish, Louisiana",B01003_001,21308,
22095,"St. John the Baptist Parish, Louisiana",B01003_001,43242,
22097,"St. Landry Parish, Louisiana",B01003_001,83172,
22099,"St. Martin Parish, Louisiana",B01003_001,53732,
22101,"St. Mary Parish, Louisiana",B01003_001,50968,
22103,"St. Tammany Parish, Louisiana",B01003_001,255155,
22105,"Tangipahoa Parish, Louisiana",B01003_001,132057,
22107,"Tensas Parish, Louisiana",B01003_001,4561,
22109,"Terrebonne Parish, Louisiana",B01003_001,112054,
22111,"Union Parish, Louisiana",B01003_001,22353,
22113,"Vermilion Parish, Louisiana",B01003_001,59865,
22115,"Vernon Parish, Louisiana",B01003_001,49646,
22117,"Washington Parish, Louisiana",B01003_001,46435,
22119,"Webster Parish, Louisiana",B01003_001,39242,
22121,"West Baton Rouge Parish, Louisiana",B01003_001,26101,
22123,"West Carroll Parish, Louisiana",B01003_001,11041,
22125,"West Feliciana Parish, Louisiana",B01003_001,15428,
22127,"Winn Parish, Louisiana",B01003_001,14313,
