GEOID,NAME,variable,estimate,moe
23001,"Androscoggin County, Maine",B01003_001,107602,
23003,"Aroostook County, Maine",B01003_001,67809,
23005,"Cumberland County, Maine",B01003_001,292307,
23007,"Franklin County, Maine",B01003_001,29982,
23009,"Hancock County, Maine",B01003_001,54601,
23011,"Kennebec County, Maine",B01003_001,121753,
23013,"Knox County, Maine",B01003_001,39759,
23015,"Lincoln County, Maine",B01003_001,34201,
23017,"Oxford County, Maine",B01003_001,57550,
23019,"Penobscot County, Maine",B01003_001,151774,
23021,"Piscataquis County, Maine",B01003_001,16836,
23023,"Sagadahoc County, Maine",B01003_001,35452,
23025,"Somerset County, Maine",B01003_001,50520,
23027,"Waldo County, Maine",B01003_001,39539,
23029,"Washington County, Maine",B01003_001,31491,
23031,"York County, Maine",B01003_001,204316,
