GEOID,NAME,variable,estimate,moe
25001,"Barnstable County, Massachusetts",B01003_001,213496,
25003,"Berkshire County, Massachusetts",B01003_001,126425,
25005,"Bristol County, Massachusetts",B01003_001,561037,
25007,"Dukes County, Massachusetts",B01003_001,17312,
25009,"Essex County, Massachusetts",B01003_001,783676,
25011,"Franklin County, Massachusetts",B01003_001,70577,
25013,"Hampden County, Massachusetts",B01003_001,467871,
25015,"Hampshire County, Massachusetts",B01003_001,161032,
25017,"Middlesex County, Massachusetts",B01003_001,1600842,
25019,"Nantucket County, Massachusetts",B01003_001,11168,
25021,"Norfolk County, Massachusetts",B01003_001,700437,
25023,"Plymouth County, Massachusetts",B01003_001,515303,
25025,"Suffolk County, Massachusetts",B01003_001,796605,
25027,"Worcester County, Massachusetts",B01003_001,824772,
