GEOID,NAME,variable,estimate,moe
26001,"Alcona County, Michigan",B01003_001,10353,
26003,"Alger County, Michigan",B01003_001,9151,
26005,"Allegan County, Michigan",B01003_001,116143,
26007,"Alpena County, Michigan",B01003_001,28520,
26009,"Antrim County, Michigan",B01003_001,23206,
26011,"Arenac County, Michigan",B01003_001,15070,
26013,"Baraga County, Michigan",B01003_001,8421,
26015,"Barry County, Michigan",B01003_001,60540,
26017,"Bay County, Michigan",B01003_001,104104,
26019,"Benzie County, Michigan",B01003_001,17615,
26021,"Berrien County, Michigan",B01003_001,154133,
26023,"Branch County, Michigan",B01003_001,43513,
26025,"Calhoun County, Michigan",B01003_001,134212,
26027,"Cass County, Michigan",B01003_001,51523,
26029,"Charlevoix County, Michigan",B01003_001,26188,
26031,"Cheboygan County, Michigan",B01003_001,25418,
26033,"Chippewa County, Michigan",B01003_001,37629,
26035,"Clare County, Michigan",B01003_001,30651,
26037,"Clinton County, Michigan",B01003_001,78389,
26039,"Crawford County, Michigan",B01003_001,13892,
26041,"Delta County, Michigan",B01003_001,36026,
26043,"Dickinson County, Michigan",B01003_001,25439,
26045,"Eaton County, Michigan",B01003_001,109456,
26047,"Emmet County, Michigan",B01003_001,33104,
26049,"Genesee County, Michigan",B01003_001,407875,
26051,"Gladwin County, Michigan",B01003_001,25279,
26053,"Gogebic County, Michigan",B01003_001,15061,
26055,"Grand Traverse County, Michigan",B01003_001,92181,
26057,"Gratiot County, Michigan",B01003_001,40916,
26059,"Hillsdale County, Michigan",B01003_001,45757,
26061,"Houghton County, Michigan",B01003_001,36070,
26063,"Huron County, Michigan",B01003_001,31349,
26065,"Ingham County, Michigan",B01003_001,290587,
26067,"Ionia County, Michigan",B01003_001,64300,
26069,"Iosco County, Michigan",B01003_001,25197,
26071,"Iron County, Michigan",B01003_001,11152,
26073,"Isabella County, Michigan",B01003_001,70688,
26075,"Jackson County, Michigan",B01003_001,158636,
26077,"Kalamazoo County, Michigan",B01003_001,262745,
26079,"Kalkaska County, Michigan",B01003_001,17585,
26081,"Kent County, Michigan",B01003_001,648121,
26083,"Keweenaw County, Michigan",B01003_001,2111,
26085,"Lake County, Michigan",B01003_001,11852,
26087,"Lapeer County, Michigan",B01003_001,88038,
26089,"Leelanau County, Michigan",B01003_001,21652,
26091,"Lenawee County, Michigan",B01003_001,98381,
26093,"Livingston County, Michigan",B01003_001,189754,
26095,"Luce County, Michigan",B01003_001,6338,
26097,"Mackinac County, Michigan",B01003_001,10780,
26099,"Macomb County, Michigan",B01003_001,870325,
26101,"Manistee County, Michigan",B01003_001,24457,
26103,"Marquette County, Michigan",B01003_001,66686,
26105,"Mason County, Michigan",B01003_001,28954,
26107,"Mecosta County, Michigan",B01003_001,43251,
26109,"Menominee County, Michigan",B01003_001,23074,
26111,"Midland County, Michigan",B01003_001,83355,
26113,"Missaukee County, Michigan",B01003_001,15028,
26115,"Monroe County, Michigan",B01003_001,149727,
26117,"Montcalm County, Michigan",B01003_001,63413,
26119,"Montmorency County, Michigan",B01003_001,9265,
26121,"Muskegon County, Michigan",B01003_001,173297,
26123,"Newaygo County, Michigan",B01003_001,48366,
26125,"Oakland County, Michigan",B01003_001,1253185,
26127,"Oceana County, Michigan",B01003_001,26416,
26129,"Ogemaw County, Michigan",B01003_001,20898,
26131,"Ontonagon County, Michigan",B01003_001,5877,
26133,"Osceola County, Michigan",B01003_001,23290,
26135,"Oscoda County, Michigan",B01003_001,8248,
26137,"Otsego County, Michigan",B01003_001,24490,
26139,"Ottawa County, Michigan",B01003_001,286558,
26141,"Presque Isle County, Michigan",B01003_001,12714,
26143,"Roscommon County, Michigan",B01003_001,23851,
26145,"Saginaw County, Michigan",B01003_001,191821,
26147,"St. Clair County, Michigan",B01003_001,159247,
26149,"St. Joseph County, Michigan",B01003_001,60836,
26151,"Sanilac County, Michigan",B01003_001,41295,
26153,"Schoolcraft County, Michigan",B01003_001,8048,
26155,"Shiawassee County, Michigan",B01003_001,68340,
26157,"Tuscola County, Michigan",B01003_001,52939,
26159,"Van Buren County, Michigan",B01003_001,75358,
26161,"Washtenaw County, Michigan",B01003_001,367000,
26163,"Wayne County, Michigan",B01003_001,1757299,
26165,"Wexford County, Michigan",B01003_001,33256,
