GEOID,NAME,variable,estimate,moe
27001,"Aitkin County, Minnesota",B01003_001,15834,
27003,"Anoka County, Minnesota",B01003_001,350253,
27005,"Becker County, Minnesota",B01003_001,34011,
27007,"Beltrami County, Minnesota",B01003_001,46403,
27009,"Benton County, Minnesota",B01003_001,40129,
27011,"Big Stone County, Minnesota",B01003_001,4996,
27013,"Blue Earth County, Minnesota",B01003_001,66795,
27015,"Brown County, Minnesota",B01003_001,25163,
27017,"Carlton County, Minnesota",B01003_001,35633,
27019,"Carver County, Minnesota",B01003_001,101949,
27021,"Cass County, Minnesota",B01003_001,29268,
27023,"Chippewa County, Minnesota",B01003_001,11953,
27025,"Chisago County, Minnesota",B01003_001,55315,
27027,"Clay County, Minnesota",B01003_001,63446,
27029,"Clearwater County, Minnesota",B01003_001,8821,
27031,"Cook County, Minnesota",B01003_001,5376,
27033,"Cottonwood County, Minnesota",B01003_001,11299,
27035,"Crow Wing County, Minnesota",B01003_001,64217,
27037,"Dakota County, Minnesota",B01003_001,421453,
27039,"Dodge County, Minnesota",B01003_001,20669,
27041,"Douglas County, Minnesota",B01003_001,37513,
27043,"Faribault County, Minnesota",B01003_001,13801,
27045,"Fillmore County, Minnesota",B01003_001,20949,
27047,"Freeborn County, Minnesota",B01003_001,30463,
27049,"Goodhue County, Minnesota",B01003_001,46246,
27051,"Grant County, Minnesota",B01003_001,5935,
27053,"Hennepin County, Minnesota",B01003_001,1245837,
27055,"Houston County, Minnesota",B01003_001,18648,
27057,"Hubbard County, Minnesota",B01003_001,21019,
27059,"Isanti County, Minnesota",B01003_001,39430,
27061,"Itasca County, Minnesota",B01003_001,45141,
27063,"Jackson County, Minnesota",B01003_001,9954,
27065,"Kanabec County, Minnesota",B01003_001,16089,
27067,"Kandiyohi County, Minnesota",B01003_001,42841,
27069,"Kittson County, Minnesota",B01003_001,4311,
27071,"Koochiching County, Minnesota",B01003_001,12515,
27073,"Lac qui Parle County, Minnesota",B01003_001,6719,
27075,"Lake County, Minnesota",B01003_001,10560,
27077,"Lake of the Woods County, Minnesota",B01003_001,3771,
27079,"Le Sueur County, Minnesota",B01003_001,28242,
27081,"Lincoln County, Minnesota",B01003_001,5677,
27083,"Lyon County, Minnesota",B01003_001,25758,
27085,"McLeod County, Minnesota",B01003_001,35832,
27087,"Mahnomen County, Minnesota",B01003_001,5501,
27089,"Marshall County, Minnesota",B01003_001,9372,
27091,"Martin County, Minnesota",B01003_001,19852,
27093,"Meeker County, Minnesota",B01003_001,23105,
27095,"Mille Lacs County, Minnesota",B01003_001,25865,
27097,"Morrison County, Minnesota",B01003_001,33064,
27099,"Mower County, Minnesota",B01003_001,39807,
27101,"Murray County, Minnesota",B01003_001,8296,
27103,"Nicollet County, Minnesota",B01003_001,33954,
27105,"Nobles County, Minnesota",B01003_001,21734,
27107,"Norman County, Minnesota",B01003_001,6520,
27109,"Olmsted County, Minnesota",B01003_001,154809,
27111,"Otter Tail County, Minnesota",B01003_001,58195,
27113,"Pennington County, Minnesota",B01003_001,14183,
27115,"Pine County, Minnesota",B01003_001,29223,
27117,"Pipestone County, Minnesota",B01003_001,9191,
27119,"Polk County, Minnesota",B01003_001,31521,
27121,"Pope County, Minnesota",B01003_001,11048,
27123,"Ramsey County, Minnesota",B01003_001,544442,
27125,"Red Lake County, Minnesota",B01003_001,4015,
27127,"Redwood County, Minnesota",B01003_001,15261,
27129,"Renville County, Minnesota",B01003_001,14652,
27131,"Rice County, Minnesota",B01003_001,66185,
27133,"Rock County, Minnesota",B01003_001,9402,
27135,"Roseau County, Minnesota",B01003_001,15361,
27137,"St. Louis County, Minnesota",B01003_001,199759,
27139,"Scott County, Minnesota",B01003_001,145275,
27141,"Sherburne County, Minnesota",B01003_001,94463,
27143,"Sibley County, Minnesota",B01003_001,14892,
27145,"Stearns County, Minnesota",B01003_001,158452,
27147,"Steele County, Minnesota",B01003_001,36683,
27149,"Stevens County, Minnesota",B01003_001,9789,
27151,"Swift County, Minnesota",B01003_001,9359,
27153,"Todd County, Minnesota",B01003_001,24494,
27155,"Traverse County, Minnesota",B01003_001,3311,
27157,"Wabasha County, Minnesota",B01003_001,21537,
27159,"Wadena County, Minnesota",B01003_001,13654,
27161,"Waseca County, Minnesota",B01003_001,18740,
27163,"Washington County, Minnesota",B01003_001,255938,
27165,"Watonwan County, Minnesota",B01003_001,10972,
27167,"Wilkin County, Minnesota",B01003_001,6291,
27169,"Winona County, Minnesota",B01003_001,50725,
27171,"Wright County, Minnesota",B01003_001,134438,
27173,"Yellow Medicine County, Minnesota",B01003_001,9814,
