GEOID,NAME,variable,estimate,moe
28001,"Adams County, Mississippi",B01003_001,31266,
28003,"Alcorn County, Mississippi",B01003_001,37090,
28005,"Amite County, Mississippi",B01003_001,12412,
28007,"Attala County, Mississippi",B01003_001,18437,
28009,"Benton County, Mississippi",B01003_001,8232,
28011,"Bolivar County, Mississippi",B01003_001,31848,
28013,"Calhoun County, Mississippi",B01003_001,14499,
28015,"Carroll County, Mississippi",B01003_001,10070,
28017,"Chickasaw County, Mississippi",B01003_001,17193,
28019,"Choctaw County, Mississippi",B01003_001,8277,
28021,"Claiborne County, Mississippi",B01003_001,9089,
28023,"Clarke County, Mississippi",B01003_001,15770,
28025,"Clay County, Mississippi",B01003_001,19640,
28027,"Coahoma County, Mississippi",B01003_001,23255,
28029,"Copiah County, Mississippi",B01003_001,28501,
28031,"Covington County, Mississippi",B01003_001,18978,
28033,"DeSoto County, Mississippi",B01003_001,178975,
28035,"Forrest County, Mississippi",B01003_001,75224,
28037,"Franklin County, Mississippi",B01003_001,7733,
28039,"George County, Mississippi",B01003_001,23917,
28041,"Greene County, Mississippi",B01003_001,13645,
28043,"Grenada County, Mississippi",B01003_001,21088,
28045,"Hancock County, Mississippi",B01003_001,46961,
28047,"Harrison County, Mississippi",B01003_001,204502,
28049,"Hinds County, Mississippi",B01003_001,238797,
28051,"Holmes County, Mississippi",B01003_001,17737,
28053,"Humphreys County, Mississippi",B01003_001,8389,
28055,"Issaquena County, Mississippi",B01003_001,1361,241
28057,"Itawamba County, Mississippi",B01003_001,23462,
28059,"Jackson County, Mississippi",B01003_001,142376,
28061,"Jasper County, Mississippi",B01003_001,16505,
28063,"Jefferson County, Mississippi",B01003_001,7225,
28065,"Jefferson Davis County, Mississippi",B01003_001,11339,
28067,"Jones County, Mississippi",B01003_001,68352,
28069,"Kemper County, Mississippi",B01003_001,9943,
28071,"Lafayette County, Mississippi",B01003_001,53590,
28073,"Lamar County, Mississippi",B01003_001,61969,
28075,"Lauderdale County, Mississippi",B01003_001,76279,
28077,"Lawrence County, Mississippi",B01003_001,12633,
28079,"Leake County, Mississippi",B01003_001,22792,
28081,"Lee County, Mississippi",B01003_001,85072,
28083,"Leflore County, Mississippi",B01003_001,29222,
28085,"Lincoln County, Mississippi",B01003_001,34320,
28087,"Lowndes County, Mississippi",B01003_001,59150,
28089,"Madison County, Mississippi",B01003_001,104562,
28091,"Marion County, Mississippi",B01003_001,24990,
28093,"Marshall County, Mississippi",B01003_001,35599,
28095,"Monroe County, Mississippi",B01003_001,35673,
28097,"Montgomery County, Mississippi",B01003_001,10068,
28099,"Neshoba County, Mississippi",B01003_001,29332,
28101,"Newton County, Mississippi",B01003_001,21360,
28103,"Noxubee County, Mississippi",B01003_001,10700,
28105,"Oktibbeha County, Mississippi",B01003_001,49512,
28107,"Panola County, Mississippi",B01003_001,34190,
28109,"Pearl River County, Mississippi",B01003_001,55219,
28111,"Perry County, Mississippi",B01003_001,12006,
28113,"Pike County, Mississippi",B01003_001,39532,
28115,"Pontotoc County, Mississippi",B01003_001,31618,
28117,"Prentiss County, Mississippi",B01003_001,25255,
28119,"Quitman County, Mississippi",B01003_001,7187,
28121,"Rankin County, Mississippi",B01003_001,152677,
28123,"Scott County, Mississippi",B01003_001,28332,
28125,"Sharkey County, Mississippi",B01003_001,4404,241
28127,"Simpson County, Mississippi",B01003_001,26888,
28129,"Smith County, Mississippi",B01003_001,16009,
28131,"Stone County, Mississippi",B01003_001,18276,
28133,"Sunflower County, Mississippi",B01003_001,26168,
28135,"Tallahatchie County, Mississippi",B01003_001,14158,
28137,"Tate County, Mississippi",B01003_001,28404,
28139,"Tippah County, Mississippi",B01003_001,22018,
28141,"Tishomingo County, Mississippi",B01003_001,19441,
28143,"Tunica County, Mississippi",B01003_001,9988,
28145,"Union County, Mississippi",B01003_001,28507,
28147,"Walthall County, Mississippi",B01003_001,14477,
28149,"Warren County, Mississippi",B01003_001,46519,
28151,"Washington County, Mississippi",B01003_001,46057,
28153,"Wayne County, Mississippi",B01003_001,20373,
28155,"Webster County, Mississippi",B01003_001,9768,
28157,"Wilkinson County, Mississippi",B01003_001,8875,
28159,"Winston County, Mississippi",B01003_001,18229,
28161,"Yalobusha County, Mississippi",B01003_001,12367,
28163,"Yazoo County, Mississippi",B01003_001,28565,
