GEOID,NAME,variable,estimate,moe
29001,"Adair County, Missouri",B01003_001,25369,
29003,"Andrew County, Missouri",B01003_001,17503,
29005,"Atchison County, Missouri",B01003_001,5229,
29007,"Audrain County, Missouri",B01003_001,25644,
29009,"Barry County, Missouri",B01003_001,35530,
29011,"Barton County, Missouri",B01003_001,11797,
29013,"Bates County, Missouri",B01003_001,16296,
29015,"Benton County, Missouri",B01003_001,19107,
29017,"Bollinger County, Missouri",B01003_001,12225,
29019,"Boone County, Missouri",B01003_001,177651,
29021,"Buchanan County, Missouri",B01003_001,88460,
29023,"Butler County, Missouri",B01003_001,42656,
29025,"Caldwell County, Missouri",B01003_001,9039,
29027,"Callaway County, Missouri",B01003_001,44889,
29029,"Camden County, Missouri",B01003_001,45466,
29031,"Cape Girardeau County, Missouri",B01003_001,78491,
29033,"Carroll County, Missouri",B01003_001,8781,
29035,"Carter County, Missouri",B01003_001,6147,
29037,"Cass County, Missouri",B01003_001,103597,
29039,"Cedar County, Missouri",B01003_001,14043,
29041,"Chariton County, Missouri",B01003_001,7483,
29043,"Christian County, Missouri",B01003_001,85658,
29045,"Clark County, Missouri",B01003_001,6779,
29047,"Clay County, Missouri",B01003_001,242516,
29049,"Clinton County, Missouri",B01003_001,20500,
29051,"Cole County, Missouri",B01003_001,76723,
29053,"Cooper County, Missouri",B01003_001,17660,
29055,"Crawford County, Missouri",B01003_001,24154,
29057,"Dade County, Missouri",B01003_001,7578,
29059,"Dallas County, Missouri",B01003_001,16617,
29061,"Daviess County, Missouri",B01003_001,8295,
29063,"DeKalb County, Missouri",B01003_001,12526,
29065,"Dent County, Missouri",B01003_001,15545,
29067,"Douglas County, Missouri",B01003_001,13306,
29069,"Dunklin County, Missouri",B01003_001,30027,
29071,"Franklin County, Missouri",B01003_001,103191,
29073,"Gasconade County, Missouri",B01003_001,14711,
29075,"Gentry County, Missouri",B01003_001,6616,
29077,"Greene County, Missouri",B01003_001,289756,
29079,"Grundy County, Missouri",B01003_001,9992,
29081,"Harrison County, Missouri",B01003_001,8491,
29083,"Henry County, Missouri",B01003_001,21735,
29085,"Hickory County, Missouri",B01003_001,9404,
29087,"Holt County, Missouri",B01003_001,4432,
29089,"Howard County, Missouri",B01003_001,10058,
29091,"Howell County, Missouri",B01003_001,40104,
29093,"Iron County, Missouri",B01003_001,10164,
29095,"Jackson County, Missouri",B01003_001,696216,
29097,"Jasper County, Missouri",B01003_001,119920,
29099,"Jefferson County, Missouri",B01003_001,223951,
29101,"Johnson County, Missouri",B01003_001,53682,
29103,"Knox County, Missouri",B01003_001,3947,
29105,"Laclede County, Missouri",B01003_001,35531,
29107,"Lafayette County, Missouri",B01003_001,32597,
29109,"Lawrence County, Missouri",B01003_001,38204,
29111,"Lewis County, Missouri",B01003_001,9955,
29113,"Lincoln County, Missouri",B01003_001,56477,
29115,"Linn County, Missouri",B01003_001,12113,
29117,"Livingston County, Missouri",B01003_001,15126,
29119,"McDonald County, Missouri",B01003_001,22782,
29121,"Macon County, Missouri",B01003_001,15199,
29123,"Madison County, Missouri",B01003_001,12179,
29125,"Maries County, Missouri",B01003_001,8803,
29127,"Marion County, Missouri",B01003_001,28608,
29129,"Mercer County, Missouri",B01003_001,3644,
29131,"Miller County, Missouri",B01003_001,25201,
29133,"Mississippi County, Missouri",B01003_001,13574,
29135,"Moniteau County, Missouri",B01003_001,16046,
29137,"Monroe County, Missouri",B01003_001,8629,
29139,"Montgomery County, Missouri",B01003_001,11487,
29141,"Morgan County, Missouri",B01003_001,20271,
29143,"New Madrid County, Missouri",B01003_001,17560,
29145,"Newton County, Missouri",B01003_001,58180,
29147,"Nodaway County, Missouri",B01003_001,22359,
29149,"Oregon County, Missouri",B01003_001,10647,
29151,"Osage County, Missouri",B01003_001,13615,
29153,"Ozark County, Missouri",B01003_001,9207,
29155,"Pemiscot County, Missouri",B01003_001,16663,
29157,"Perry County, Missouri",B01003_001,19191,
29159,"Pettis County, Missouri",B01003_001,42355,
29161,"Phelps County, Missouri",B01003_001,44630,
29163,"Pike County, Missouri",B01003_001,18455,
29165,"Platte County, Missouri",B01003_001,100682,
29167,"Polk County, Missouri",B01003_001,31748,
29169,"Pulaski County, Missouri",B01003_001,52425,
29171,"Putnam County, Missouri",B01003_001,4781,
29173,"Ralls County, Missouri",B01003_001,10234,
