GEOID,NAME,variable,estimate,moe
31001,"Adams County, Nebraska",B01003_001,31587,
31003,"Antelope County, Nebraska",B01003_001,6341,
31005,"Arthur County, Nebraska",B01003_001,427,69
31007,"Banner County, Nebraska",B01003_001,722,68
31009,"Blaine County, Nebraska",B01003_001,477,58
31011,"Boone County, Nebraska",B01003_001,5279,
31013,"Box Butte County, Nebraska",B01003_001,10970,
31015,"Boyd County, Nebraska",B01003_001,1937,85
31017,"Brown County, Nebraska",B01003_001,3015,115
31019,"Buffalo County, Nebraska",B01003_001,49209,
31021,"Burt County, Nebraska",B01003_001,6510,
31023,"Butler County, Nebraska",B01003_001,8029,
31025,"Cass County, Nebraska",B01003_001,25888,
31027,"Cedar County, Nebraska",B01003_001,8498,
31029,"Chase County, Nebraska",B01003_001,3783,211
31031,"Cherry County, Nebraska",B01003_001,5779,
31033,"Cheyenne County, Nebraska",B01003_001,9604,
31035,"Clay County, Nebraska",B01003_001,6203,
31037,"Colfax County, Nebraska",B01003_001,10714,
31039,"Cuming County, Nebraska",B01003_001,8952,
31041,"Custer County, Nebraska",B01003_001,10826,
31043,"Dakota County, Nebraska",B01003_001,20173,
31045,"Dawes County, Nebraska",B01003_001,8810,
31047,"Dawson County, Nebraska",B01003_001,23733,
31049,"Deuel County, Nebraska",B01003_001,1831,139
31051,"Dixon County, Nebraska",B01003_001,5719,
31053,"Dodge County, Nebraska",B01003_001,36665,
31055,"Douglas County, Nebraska",B01003_001,560617,
31057,"Dundy County, Nebraska",B01003_001,1913,211
31059,"Fillmore County, Nebraska",B01003_001,5547,
31061,"Franklin County, Nebraska",B01003_001,2987,
31063,"Frontier County, Nebraska",B01003_001,2640,64
31065,"Furnas County, Nebraska",B01003_001,4747,
31067,"Gage County, Nebraska",B01003_001,21594,
31069,"Garden County, Nebraska",B01003_001,1864,158
31071,"Garfield County, Nebraska",B01003_001,2001,99
31073,"Gosper County, Nebraska",B01003_001,2013,
31075,"Grant County, Nebraska",B01003_001,722,59
31077,"Greeley County, Nebraska",B01003_001,2382,
31079,"Hall County, Nebraska",B01003_001,61265,
31081,"Hamilton County, Nebraska",B01003_001,9215,
31083,"Harlan County, Nebraska",B01003_001,3415,
31085,"Hayes County, Nebraska",B01003_001,893,64
31087,"Hitchcock County, Nebraska",B01003_001,2815,
31089,"Holt County, Nebraska",B01003_001,10177,
31091,"Hooker County, Nebraska",B01003_001,693,78
31093,"Howard County, Nebraska",B01003_001,6417,
31095,"Jefferson County, Nebraska",B01003_001,7144,
31097,"Johnson County, Nebraska",B01003_001,5161,
31099,"Kearney County, Nebraska",B01003_001,6529,
31101,"Keith County, Nebraska",B01003_001,8068,
31103,"Keya Paha County, Nebraska",B01003_001,760,115
31105,"Kimball County, Nebraska",B01003_001,3633,
31107,"Knox County, Nebraska",B01003_001,8426,
31109,"Lancaster County, Nebraska",B01003_001,313158,
31111,"Lincoln County, Nebraska",B01003_001,35263,
31113,"Logan County, Nebraska",B01003_001,927,77
31115,"Loup County, Nebraska",B01003_001,605,56
31117,"McPherson County, Nebraska",B01003_001,395,55
31119,"Madison County, Nebraska",B01003_001,35080,
31121,"Merrick County, Nebraska",B01003_001,7798,
31123,"Morrill County, Nebraska",B01003_001,4781,
31125,"Nance County, Nebraska",B01003_001,3544,
31127,"Nemaha County, Nebraska",B01003_001,6973,
31129,"Nuckolls County, Nebraska",B01003_001,4244,
31131,"Otoe County, Nebraska",B01003_001,15949,
31133,"Pawnee County, Nebraska",B01003_001,2649,
31135,"Perkins County, Nebraska",B01003_001,2901,
31137,"Phelps County, Nebraska",B01003_001,9100,
31139,"Pierce County, Nebraska",B01003_001,7144,
31141,"Platte County, Nebraska",B01003_001,33174,
31143,"Polk County, Nebraska",B01003_001,5225,
31145,"Red Willow County, Nebraska",B01003_001,10768,
31147,"Richardson County, Nebraska",B01003_001,7961,
31149,"Rock County, Nebraska",B01003_001,1414,85
31151,"Saline County, Nebraska",B01003_001,14270,
31153,"Sarpy County, Nebraska",B01003_001,181232,
31155,"Saunders County, Nebraska",B01003_001,21165,
31157,"Scotts Bluff County, Nebraska",B01003_001,36074,
31159,"Seward County, Nebraska",B01003_001,17171,
31161,"Sheridan County, Nebraska",B01003_001,5231,
31163,"Sherman County, Nebraska",B01003_001,3033,
31165,"Sioux County, Nebraska",B01003_001,1219,68
31167,"Stanton County, Nebraska",B01003_001,5957,
31169,"Thayer County, Nebraska",B01003_001,5057,
31171,"Thomas County, Nebraska",B01003_001,645,74
31173,"Thurston County, Nebraska",B01003_001,7181,
31175,"Valley County, Nebraska",B01003_001,4206,56
31177,"Washington County, Nebraska",B01003_001,20361,
31179,"Wayne County, Nebraska",B01003_001,9332,
31181,"Webster County, Nebraska",B01003_001,3537,
31183,"Wheeler County, Nebraska",B01003_001,783,99
31185,"York County, Nebraska",B01003_001,13745,
