GEOID,NAME,variable,estimate,moe
33001,"Belknap County, New Hampshire",B01003_001,60887,
33003,"Carroll County, New Hampshire",B01003_001,48138,
33005,"Cheshire County, New Hampshire",B01003_001,76042,
33007,"Coos County, New Hampshire",B01003_001,31741,
33009,"Grafton County, New Hampshire",B01003_001,89777,
33011,"Hillsborough County, New Hampshire",B01003_001,413035,
33013,"Merrimack County, New Hampshire",B01003_001,149917,
33015,"Rockingham County, New Hampshire",B01003_001,306359,
33017,"Strafford County, New Hampshire",B01003_001,129124,
33019,"Sullivan County, New Hampshire",B01003_001,43104,
