GEOID,NAME,variable,estimate,moe
34001,"Atlantic County, New Jersey",B01003_001,266105,
34003,"Bergen County, New Jersey",B01003_001,930390,
34005,"Burlington County, New Jersey",B01003_001,445702,
34007,"Camden County, New Jersey",B01003_001,506738,
34009,"Cape May County, New Jersey",B01003_001,93086,
34011,"Cumberland County, New Jersey",B01003_001,151906,
34013,"Essex County, New Jersey",B01003_001,795404,
34015,"Gloucester County, New Jersey",B01003_001,291165,
34017,"Hudson County, New Jersey",B01003_001,670046,
34019,"Hunterdon County, New Jersey",B01003_001,124823,
34021,"Mercer County, New Jersey",B01003_001,367922,
34023,"Middlesex County, New Jersey",B01003_001,825920,
34025,"Monmouth County, New Jersey",B01003_001,621659,
34027,"Morris County, New Jersey",B01003_001,493379,
34029,"Ocean County, New Jersey",B01003_001,596415,
34031,"Passaic County, New Jersey",B01003_001,503637,
34033,"Salem County, New Jersey",B01003_001,62990,
34035,"Somerset County, New Jersey",B01003_001,329838,
34037,"Sussex County, New Jersey",B01003_001,141483,
34039,"Union County, New Jersey",B01003_001,554033,
34041,"Warren County, New Jersey",B01003_001,105862,
