GEOID,NAME,variable,estimate,moe
35001,"Bernalillo County, New Mexico",B01003_001,677858,
35003,"Catron County, New Mexico",B01003_001,3526,
35005,"Chaves County, New Mexico",B01003_001,65144,
35006,"Cibola County, New Mexico",B01003_001,26891,
35007,"Colfax County, New Mexico",B01003_001,12168,
35009,"Curry County, New Mexico",B01003_001,49732,
35011,"De Baca County, New Mexico",B01003_001,2040,75
35013,"Doña Ana County, New Mexico",B01003_001,216069,
35015,"Eddy County, New Mexico",B01003_001,57732,
35017,"Grant County, New Mexico",B01003_001,27669,
35019,"Guadalupe County, New Mexico",B01003_001,4353,
35021,"Harding County, New Mexico",B01003_001,441,75
35023,"Hidalgo County, New Mexico",B01003_001,4297,
35025,"Lea County, New Mexico",B01003_001,70277,
35027,"Lincoln County, New Mexico",B01003_001,19461,
35028,"Los Alamos County, New Mexico",B01003_001,18625,
35029,"Luna County, New Mexico",B01003_001,24083,
35031,"McKinley County, New Mexico",B01003_001,72438,
35033,"Mora County, New Mexico",B01003_001,4536,
35035,"Otero County, New Mexico",B01003_001,66137,
35037,"Quay County, New Mexico",B01003_001,8326,
35039,"Rio Arriba County, New Mexico",B01003_001,39159,
35041,"Roosevelt County, New Mexico",B01003_001,18888,
35043,"Sandoval County, New Mexico",B01003_001,142704,
35045,"San Juan County, New Mexico",B01003_001,126515,
35047,"San Miguel County, New Mexico",B01003_001,27738,
35049,"Santa Fe County, New Mexico",B01003_001,149293,
35051,"Sierra County, New Mexico",B01003_001,11031,
35053,"Socorro County, New Mexico",B01003_001,16858,
35055,"Taos County, New Mexico",B01003_001,32786,
35057,"Torrance County, New Mexico",B01003_001,15519,
35059,"Union County, New Mexico",B01003_001,4133,
35061,"Valencia County, New Mexico",B01003_001,76027,
