GEOID,NAME,variable,estimate,moe
36001,"Albany County, New York",B01003_001,306968,
36003,"Allegany County, New York",B01003_001,46688,
36005,"Bronx County, New York",B01003_001,1435068,
36007,"Broome County, New York",B01003_001,193188,
36009,"Cattaraugus County, New York",B01003_001,77121,
36011,"Cayuga County, New York",B01003_001,77425,
36013,"Chautauqua County, New York",B01003_001,128496,
36015,"Chemung County, New York",B01003_001,84895,
36017,"Chenango County, New York",B01003_001,47909,
36019,"Clinton County, New York",B01003_001,80583,
36021,"Columbia County, New York",B01003_001,60371,
36023,"Cortland County, New York",B01003_001,47865,
36025,"Delaware County, New York",B01003_001,44995,
36027,"Dutchess County, New York",B01003_001,293754,
36029,"Erie County, New York",B01003_001,919355,
36031,"Essex County, New York",B01003_001,37459,
36033,"Franklin County, New York",B01003_001,50477,
36035,"Fulton County, New York",B01003_001,53646,
36037,"Genesee County, New York",B01003_001,57808,
36039,"Greene County, New York",B01003_001,47424,
36041,"Hamilton County, New York",B01003_001,4515,
36043,"Herkimer County, New York",B01003_001,62057,
36045,"Jefferson County, New York",B01003_001,112842,
36047,"Kings County, New York",B01003_001,2589974,
36049,"Lewis County, New York",B01003_001,26572,
36051,"Livingston County, New York",B01003_001,63591,
36053,"Madison County, New York",B01003_001,71205,
36055,"Monroe County, New York",B01003_001,743341,
36057,"Montgomery County, New York",B01003_001,49302,
36059,"Nassau County, New York",B01003_001,1356509,
36061,"New York County, New York",B01003_001,1631993,
36063,"Niagara County, New York",B01003_001,210820,
36065,"Oneida County, New York",B01003_001,229959,
36067,"Onondaga County, New York",B01003_001,462872,
36069,"Ontario County, New York",B01003_001,109511,
36071,"Orange County, New York",B01003_001,380085,
36073,"Orleans County, New York",B01003_001,40904,
36075,"Oswego County, New York",B01003_001,118339,
36077,"Otsego County, New York",B01003_001,59972,
36079,"Putnam County, New York",B01003_001,98787,
36081,"Queens County, New York",B01003_001,2287388,
36083,"Rensselaer County, New York",B01003_001,159185,
36085,"Richmond County, New York",B01003_001,474893,
36087,"Rockland County, New York",B01003_001,324422,
36089,"St. Lawrence County, New York",B01003_001,108913,
36091,"Saratoga County, New York",B01003_001,228502,
36093,"Schenectady County, New York",B01003_001,154859,
36095,"Schoharie County, New York",B01003_001,31222,
36097,"Schuyler County, New York",B01003_001,17920,
36099,"Seneca County, New York",B01003_001,34390,
36101,"Steuben County, New York",B01003_001,96422,
36103,"Suffolk County, New York",B01003_001,1483832,
36105,"Sullivan County, New York",B01003_001,75116,
36107,"Tioga County, New York",B01003_001,48686,
36109,"Tompkins County, New York",B01003_001,102642,
36111,"Ulster County, New York",B01003_001,178665,
36113,"Warren County, New York",B01003_001,64276,
36115,"Washington County, New York",B01003_001,61616,
36117,"Wayne County, New York",B01003_001,90519,
36119,"Westchester County, New York",B01003_001,968890,
36121,"Wyoming County, New York",B01003_001,40305,
36123,"Yates County, New York",B01003_001,25011,
