GEOID,NAME,variable,estimate,moe
37001,"Alamance County, North Carolina",B01003_001,163324,
37003,"Alexander County, North Carolina",B01003_001,37213,
37005,"Alleghany County, North Carolina",B01003_001,11008,
37007,"Anson County, North Carolina",B01003_001,24902,
37009,"Ashe County, North Carolina",B01003_001,26863,
37011,"Avery County, North Carolina",B01003_001,17506,
37013,"Beaufort County, North Carolina",B01003_001,47168,
37015,"Bertie County, North Carolina",B01003_001,19380,
37017,"Bladen County, North Carolina",B01003_001,33407,
37019,"Brunswick County, North Carolina",B01003_001,131815,
37021,"Buncombe County, North Carolina",B01003_001,256886,
37023,"Burke County, North Carolina",B01003_001,89968,
37025,"Cabarrus County, North Carolina",B01003_001,206615,
37027,"Caldwell County, North Carolina",B01003_001,81884,
37029,"Camden County, North Carolina",B01003_001,10551,
37031,"Carteret County, North Carolina",B01003_001,69070,
37033,"Caswell County, North Carolina",B01003_001,22684,
37035,"Catawba County, North Carolina",B01003_001,157613,
37037,"Chatham County, North Carolina",B01003_001,71338,
37039,"Cherokee County, North Carolina",B01003_001,27969,
37041,"Chowan County, North Carolina",B01003_001,14097,
37043,"Clay County, North Carolina",B01003_001,10946,
37045,"Cleveland County, North Carolina",B01003_001,97282,
37047,"Columbus County, North Carolina",B01003_001,56068,
37049,"Craven County, North Carolina",B01003_001,102491,
37051,"Cumberland County, North Carolina",B01003_001,332861,
37053,"Currituck County, North Carolina",B01003_001,26363,
37055,"Dare County, North Carolina",B01003_001,36222,
37057,"Davidson County, North Carolina",B01003_001,165381,
37059,"Davie County, North Carolina",B01003_001,42257,
37061,"Duplin County, North Carolina",B01003_001,58967,
37063,"Durham County, North Carolina",B01003_001,311848,
37065,"Edgecombe County, North Carolina",B01003_001,52648,
37067,"Forsyth County, North Carolina",B01003_001,375195,
37069,"Franklin County, North Carolina",B01003_001,66362,
37071,"Gaston County, North Carolina",B01003_001,219271,
37073,"Gates County, North Carolina",B01003_001,11548,
37075,"Graham County, North Carolina",B01003_001,8509,
37077,"Granville County, North Carolina",B01003_001,59328,
37079,"Greene County, North Carolina",B01003_001,21033,
37081,"Guilford County, North Carolina",B01003_001,527868,
37083,"Halifax County, North Carolina",B01003_001,51190,
37085,"Harnett County, North Carolina",B01003_001,132283,
37087,"Haywood County, North Carolina",B01003_001,61053,
37089,"Henderson County, North Carolina",B01003_001,114913,
37091,"Hertford County, North Carolina",B01003_001,24012,
37093,"Hoke County, North Carolina",B01003_001,53957,
37095,"Hyde County, North Carolina",B01003_001,5213,
37097,"Iredell County, North Carolina",B01003_001,175538,
37099,"Jackson County, North Carolina",B01003_001,42938,
37101,"Johnston County, North Carolina",B01003_001,196870,
37103,"Jones County, North Carolina",B01003_001,9594,
37105,"Lee County, North Carolina",B01003_001,60481,
37107,"Lenoir County, North Carolina",B01003_001,56756,
37109,"Lincoln County, North Carolina",B01003_001,82919,
37111,"McDowell County, North Carolina",B01003_001,45227,
37113,"Macon County, North Carolina",B01003_001,34813,
37115,"Madison County, North Carolina",B01003_001,21499,
37117,"Martin County, North Carolina",B01003_001,22849,
37119,"Mecklenburg County, North Carolina",B01003_001,1074475,
37121,"Mitchell County, North Carolina",B01003_001,15004,
37123,"Montgomery County, North Carolina",B01003_001,27252,
37125,"Moore County, North Carolina",B01003_001,97294,
37127,"Nash County, North Carolina",B01003_001,94030,
37129,"New Hanover County, North Carolina",B01003_001,227938,
37131,"Northampton County, North Carolina",B01003_001,19946,
37133,"Onslow County, North Carolina",B01003_001,195069,
37135,"Orange County, North Carolina",B01003_001,144836,
37137,"Pamlico County, North Carolina",B01003_001,12701,
37139,"Pasquotank County, North Carolina",B01003_001,39514,
37141,"Pender County, North Carolina",B01003_001,60399,
37143,"Perquimans County, North Carolina",B01003_001,13430,
37145,"Person County, North Carolina",B01003_001,39345,
37147,"Pitt County, North Carolina",B01003_001,178433,
37149,"Polk County, North Carolina",B01003_001,20557,
37151,"Randolph County, North Carolina",B01003_001,143118,
37153,"Richmond County, North Carolina",B01003_001,44997,
37155,"Robeson County, North Carolina",B01003_001,132596,
37157,"Rockingham County, North Carolina",B01003_001,91077,
37159,"Rowan County, North Carolina",B01003_001,140296,
37161,"Rutherford County, North Carolina",B01003_001,66599,
37163,"Sampson County, North Carolina",B01003_001,63385,
37165,"Scotland County, North Carolina",B01003_001,35076,
37167,"Stanly County, North Carolina",B01003_001,61588,
37169,"Stokes County, North Carolina",B01003_001,45781,
37171,"Surry County, North Carolina",B01003_001,71971,
37173,"Swain County, North Carolina",B01003_001,14260,
37175,"Transylvania County, North Carolina",B01003_001,33775,
37177,"Tyrrell County, North Carolina",B01003_001,4095,
37179,"Union County, North Carolina",B01003_001,231053,
37181,"Vance County, North Carolina",B01003_001,44479,
37183,"Wake County, North Carolina",B01003_001,1069079,
37185,"Warren County, North Carolina",B01003_001,19898,
37187,"Washington County, North Carolina",B01003_001,11922,
37189,"Watauga County, North Carolina",B01003_001,54925,
37191,"Wayne County, North Carolina",B01003_001,123603,
37193,"Wilkes County, North Carolina",B01003_001,68469,
37195,"Wilson County, North Carolina",B01003_001,81435,
37197,"Yadkin County, North Carolina",B01003_001,37602,
37199,"Yancey County, North Carolina",B01003_001,17760,
