GEOID,NAME,variable,estimate,moe
38001,"Adams County, North Dakota",B01003_001,2311,
38003,"Barnes County, North Dakota",B01003_001,10706,
38005,"Benson County, North Dakota",B01003_001,6873,
38007,"Billings County, North Dakota",B01003_001,922,84
38009,"Bottineau County, North Dakota",B01003_001,6502,
38011,"Bowman County, North Dakota",B01003_001,3148,
38013,"Burke County, North Dakota",B01003_001,2182,
38015,"Burleigh County, North Dakota",B01003_001,94793,
38017,"Cass County, North Dakota",B01003_001,176975,
38019,"Cavalier County, North Dakota",B01003_001,3803,
38021,"Dickey County, North Dakota",B01003_001,4938,
38023,"Divide County, North Dakota",B01003_001,2335,
38025,"Dunn County, North Dakota",B01003_001,4395,
38027,"Eddy County, North Dakota",B01003_001,2301,
38029,"Emmons County, North Dakota",B01003_001,3310,
38031,"Foster County, North Dakota",B01003_001,3260,
38033,"Golden Valley County, North Dakota",B01003_001,1845,100
38035,"Grand Forks County, North Dakota",B01003_001,70224,
38037,"Grant County, North Dakota",B01003_001,2353,
38039,"Griggs County, North Dakota",B01003_001,2409,114
38041,"Hettinger County, North Dakota",B01003_001,2547,
38043,"Kidder County, North Dakota",B01003_001,2466,
38045,"LaMoure County, North Dakota",B01003_001,4125,125
38047,"Logan County, North Dakota",B01003_001,1872,125
38049,"McHenry County, North Dakota",B01003_001,5878,
38051,"McIntosh County, North Dakota",B01003_001,2597,
38053,"McKenzie County, North Dakota",B01003_001,13334,
38055,"McLean County, North Dakota",B01003_001,9584,
38057,"Mercer County, North Dakota",B01003_001,8462,
38059,"Morton County, North Dakota",B01003_001,30868,
38061,"Mountrail County, North Dakota",B01003_001,10321,
38063,"Nelson County, North Dakota",B01003_001,2894,
38065,"Oliver County, North Dakota",B01003_001,1842,105
38067,"Pembina County, North Dakota",B01003_001,6947,
38069,"Pierce County, North Dakota",B01003_001,4126,
38071,"Ramsey County, North Dakota",B01003_001,11583,
38073,"Ransom County, North Dakota",B01003_001,5314,
38075,"Renville County, North Dakota",B01003_001,2442,
38077,"Richland County, North Dakota",B01003_001,16254,
38079,"Rolette County, North Dakota",B01003_001,14511,
38081,"Sargent County, North Dakota",B01003_001,3872,
38083,"Sheridan County, North Dakota",B01003_001,1409,105
38085,"Sioux County, North Dakota",B01003_001,4373,
38087,"Slope County, North Dakota",B01003_001,742,83
38089,"Stark County, North Dakota",B01003_001,31081,
38091,"Steele County, North Dakota",B01003_001,1744,114
38093,"Stutsman County, North Dakota",B01003_001,20965,
38095,"Towner County, North Dakota",B01003_001,2224,
38097,"Traill County, North Dakota",B01003_001,8008,
38099,"Walsh County, North Dakota",B01003_001,10751,
38101,"Ward County, North Dakota",B01003_001,68812,
38103,"Wells County, North Dakota",B01003_001,3976,
38105,"Williams County, North Dakota",B01003_001,35208,
