GEOID,NAME,variable,estimate,moe
39001,"Adams County, Ohio",B01003_001,27776,
39003,"Allen County, Ohio",B01003_001,103175,
39005,"Ashland County, Ohio",B01003_001,53536,
39007,"Ashtabula County, Ohio",B01003_001,97830,
39009,"Athens County, Ohio",B01003_001,65917,
39011,"Auglaize County, Ohio",B01003_001,45729,
39013,"Belmont County, Ohio",B01003_001,68024,
39015,"Brown County, Ohio",B01003_001,43572,
39017,"Butler County, Ohio",B01003_001,380019,
39019,"Carroll County, Ohio",B01003_001,27332,
39021,"Champaign County, Ohio",B01003_001,38845,
39023,"Clark County, Ohio",B01003_001,134726,
39025,"Clermont County, Ohio",B01003_001,204275,
39027,"Clinton County, Ohio",B01003_001,41957,
39029,"Columbiana County, Ohio",B01003_001,103190,
39031,"Coshocton County, Ohio",B01003_001,36585,
39033,"Crawford County, Ohio",B01003_001,41821,
39035,"Cuyahoga County, Ohio",B01003_001,1247451,
39037,"Darke County, Ohio",B01003_001,51513,
39039,"Defiance County, Ohio",B01003_001,38160,
39041,"Delaware County, Ohio",B01003_001,201135,
39043,"Erie County, Ohio",B01003_001,74780,
39045,"Fairfield County, Ohio",B01003_001,154457,
39047,"Fayette County, Ohio",B01003_001,28620,
39049,"Franklin County, Ohio",B01003_001,1290360,
39051,"Fulton County, Ohio",B01003_001,42253,
39053,"Gallia County, Ohio",B01003_001,30088,
39055,"Geauga County, Ohio",B01003_001,93843,
39057,"Greene County, Ohio",B01003_001,166502,
39059,"Guernsey County, Ohio",B01003_001,39111,
39061,"Hamilton County, Ohio",B01003_001,813589,
39063,"Hancock County, Ohio",B01003_001,75837,
39065,"Hardin County, Ohio",B01003_001,31425,
39067,"Harrison County, Ohio",B01003_001,15211,
39069,"Henry County, Ohio",B01003_001,27208,
39071,"Highland County, Ohio",B01003_001,43016,
39073,"Hocking County, Ohio",B01003_001,28390,
39075,"Holmes County, Ohio",B01003_001,43901,
39077,"Huron County, Ohio",B01003_001,58339,
39079,"Jackson County, Ohio",B01003_001,32450,
39081,"Jefferson County, Ohio",B01003_001,66371,
39083,"Knox County, Ohio",B01003_001,61481,
39085,"Lake County, Ohio",B01003_001,229954,
39087,"Lawrence County, Ohio",B01003_001,60184,
39089,"Licking County, Ohio",B01003_001,173750,
39091,"Logan County, Ohio",B01003_001,45316,
39093,"Lorain County, Ohio",B01003_001,307670,
39095,"Lucas County, Ohio",B01003_001,431102,
39097,"Madison County, Ohio",B01003_001,44135,
39099,"Mahoning County, Ohio",B01003_001,229961,
39101,"Marion County, Ohio",B01003_001,65299,
39103,"Medina County, Ohio",B01003_001,177980,
39105,"Meigs County, Ohio",B01003_001,23078,
39107,"Mercer County, Ohio",B01003_001,40884,
39109,"Miami County, Ohio",B01003_001,105371,
39111,"Monroe County, Ohio",B01003_001,13942,
39113,"Montgomery County, Ohio",B01003_001,531670,
39115,"Morgan County, Ohio",B01003_001,14640,
39117,"Morrow County, Ohio",B01003_001,35043,
39119,"Muskingum County, Ohio",B01003_001,86131,
39121,"Noble County, Ohio",B01003_001,14416,
39123,"Ottawa County, Ohio",B01003_001,40632,
39125,"Paulding County, Ohio",B01003_001,18809,
39127,"Perry County, Ohio",B01003_001,36022,
39129,"Pickaway County, Ohio",B01003_001,57762,
39131,"Pike County, Ohio",B01003_001,28000,
39133,"Portage County, Ohio",B01003_001,162511,
39135,"Preble County, Ohio",B01003_001,41093,
39137,"Putnam County, Ohio",B01003_001,33911,
39139,"Richland County, Ohio",B01003_001,121100,
39141,"Ross County, Ohio",B01003_001,76948,
39143,"Sandusky County, Ohio",B01003_001,59029,
39145,"Scioto County, Ohio",B01003_001,76040,
39147,"Seneca County, Ohio",B01003_001,55351,
39149,"Shelby County, Ohio",B01003_001,48749,
39151,"Stark County, Ohio",B01003_001,372404,
39153,"Summit County, Ohio",B01003_001,541334,
39155,"Trumbull County, Ohio",B01003_001,200367,
39157,"Tuscarawas County, Ohio",B01003_001,92335,
39159,"Union County, Ohio",B01003_001,56707,
39161,"Van Wert County, Ohio",B01003_001,28261,
39163,"Vinton County, Ohio",B01003_001,13083,
39165,"Warren County, Ohio",B01003_001,229132,
39167,"Washington County, Ohio",B01003_001,60426,
39169,"Wayne County, Ohio",B01003_001,116099,
39171,"Williams County, Ohio",B01003_001,36816,
39173,"Wood County, Ohio",B01003_001,130150,
39175,"Wyandot County, Ohio",B01003_001,22000,
