GEOID,NAME,variable,estimate,moe
40001,"Adair County, Oklahoma",B01003_001,22220,
40003,"Alfalfa County, Oklahoma",B01003_001,5847,
40005,"Atoka County, Oklahoma",B01003_001,13823,
40007,"Beaver County, Oklahoma",B01003_001,5377,
40009,"Beckham County, Oklahoma",B01003_001,22268,
40011,"Blaine County, Oklahoma",B01003_001,9556,
40013,"Bryan County, Oklahoma",B01003_001,46457,
40015,"Caddo County, Oklahoma",B01003_001,29242,
40017,"Canadian County, Oklahoma",B01003_001,140455,
40019,"Carter County, Oklahoma",B01003_001,48319,
40021,"Cherokee County, Oklahoma",B01003_001,48664,
40023,"Choctaw County, Oklahoma",B01003_001,14807,
40025,"Cimarron County, Oklahoma",B01003_001,2174,
40027,"Cleveland County, Oklahoma",B01003_001,279274,
40029,"Coal County, Oklahoma",B01003_001,5581,
40031,"Comanche County, Oklahoma",B01003_001,121762,
40033,"Cotton County, Oklahoma",B01003_001,5858,
40035,"Craig County, Oklahoma",B01003_001,14390,
40037,"Creek County, Oklahoma",B01003_001,71427,
40039,"Custer County, Oklahoma",B01003_001,29152,
40041,"Delaware County, Oklahoma",B01003_001,42433,
40043,"Dewey County, Oklahoma",B01003_001,4922,
40045,"Ellis County, Oklahoma",B01003_001,4015,
40047,"Garfield County, Oklahoma",B01003_001,61898,
40049,"Garvin County, Oklahoma",B01003_001,27835,
40051,"Grady County, Oklahoma",B01003_001,55071,
40053,"Grant County, Oklahoma",B01003_001,4397,
40055,"Greer County, Oklahoma",B01003_001,5861,
40057,"Harmon County, Oklahoma",B01003_001,2710,
40059,"Harper County, Oklahoma",B01003_001,3760,
40061,"Haskell County, Oklahoma",B01003_001,12687,
40063,"Hughes County, Oklahoma",B01003_001,13372,
40065,"Jackson County, Oklahoma",B01003_001,25063,
40067,"Jefferson County, Oklahoma",B01003_001,6158,
40069,"Johnston County, Oklahoma",B01003_001,11064,
40071,"Kay County, Oklahoma",B01003_001,44402,
40073,"Kingfisher County, Oklahoma",B01003_001,15694,
40075,"Kiowa County, Oklahoma",B01003_001,8886,
40077,"Latimer County, Oklahoma",B01003_001,10348,
40079,"Le Flore County, Oklahoma",B01003_001,50026,
40081,"Lincoln County, Oklahoma",B01003_001,34895,
40083,"Logan County, Oklahoma",B01003_001,46683,
40085,"Love County, Oklahoma",B01003_001,10063,
40087,"McClain County, Oklahoma",B01003_001,39247,
40089,"McCurtain County, Oklahoma",B01003_001,33016,
40091,"McIntosh County, Oklahoma",B01003_001,19725,
40093,"Major County, Oklahoma",B01003_001,7692,
40095,"Marshall County, Oklahoma",B01003_001,16505,
40097,"Mayes County, Oklahoma",B01003_001,41044,
40099,"Murray County, Oklahoma",B01003_001,13946,
40101,"Muskogee County, Oklahoma",B01003_001,68736,
40103,"Noble County, Oklahoma",B01003_001,11335,
40105,"Nowata County, Oklahoma",B01003_001,10322,
40107,"Okfuskee County, Oklahoma",B01003_001,12067,
40109,"Oklahoma County, Oklahoma",B01003_001,787216,
40111,"Okmulgee County, Oklahoma",B01003_001,38749,
40113,"Osage County, Oklahoma",B01003_001,47226,
40115,"Ottawa County, Oklahoma",B01003_001,31454,
40117,"Pawnee County, Oklahoma",B01003_001,16412,
40119,"Payne County, Oklahoma",B01003_001,81815,
40121,"Pittsburg County, Oklahoma",B01003_001,44146,
40123,"Pontotoc County, Oklahoma",B01003_001,38355,
40125,"Pottawatomie County, Oklahoma",B01003_001,72154,
40127,"Pushmataha County, Oklahoma",B01003_001,11128,
40129,"Roger Mills County, Oklahoma",B01003_001,3667,
40131,"Rogers County, Oklahoma",B01003_001,91353,
40133,"Seminole County, Oklahoma",B01003_001,24832,
40135,"Sequoyah County, Oklahoma",B01003_001,41709,
40137,"Stephens County, Oklahoma",B01003_001,43647,
40139,"Texas County, Oklahoma",B01003_001,20805,
40141,"Tillman County, Oklahoma",B01003_001,7413,
40143,"Tulsa County, Oklahoma",B01003_001,646419,
40145,"Wagoner County, Oklahoma",B01003_001,78958,
40147,"Washington County, Oklahoma",B01003_001,51886,
40149,"Washita County, Oklahoma",B01003_001,11225,
40151,"Woods County, Oklahoma",B01003_001,9043,
40153,"Woodward County, Oklahoma",B01003_001,20727,
