GEOID,NAME,variable,estimate,moe
41001,"Baker County, Oregon",B01003_001,16019,
41003,"Benton County, Oregon",B01003_001,91107,
41005,"Clackamas County, Oregon",B01003_001,410463,
41007,"Clatsop County, Oregon",B01003_001,39102,
41009,"Columbia County, Oregon",B01003_001,51375,
41011,"Coos County, Oregon",B01003_001,63686,
41013,"Crook County, Oregon",B01003_001,23011,
41015,"Curry County, Oregon",B01003_001,22650,
41017,"Deschutes County, Oregon",B01003_001,186251,
41019,"Douglas County, Oregon",B01003_001,109114,
41021,"Gilliam County, Oregon",B01003_001,1878,
41023,"Grant County, Oregon",B01003_001,7189,
41025,"Harney County, Oregon",B01003_001,7267,
41027,"Hood River County, Oregon",B01003_001,23209,
41029,"Jackson County, Oregon",B01003_001,216574,
41031,"Jefferson County, Oregon",B01003_001,23607,
41033,"Josephine County, Oregon",B01003_001,86251,
41035,"Klamath County, Oregon",B01003_001,66921,
41037,"Lake County, Oregon",B01003_001,7837,
41039,"Lane County, Oregon",B01003_001,373340,
41041,"Lincoln County, Oregon",B01003_001,48547,
41043,"Linn County, Oregon",B01003_001,125048,
41045,"Malheur County, Oregon",B01003_001,30412,
41047,"Marion County, Oregon",B01003_001,339641,
41049,"Morrow County, Oregon",B01003_001,11303,
41051,"Multnomah County, Oregon",B01003_001,804606,
41053,"Polk County, Oregon",B01003_001,83037,
41055,"Sherman County, Oregon",B01003_001,1642,114
41057,"Tillamook County, Oregon",B01003_001,26389,
41059,"Umatilla County, Oregon",B01003_001,77129,
41061,"Union County, Oregon",B01003_001,26337,
41063,"Wallowa County, Oregon",B01003_001,7004,
41065,"Wasco County, Oregon",B01003_001,26130,
41067,"Washington County, Oregon",B01003_001,589481,
41069,"Wheeler County, Oregon",B01003_001,1415,114
41071,"Yamhill County, Oregon",B01003_001,104831,
