GEOID,NAME,variable,estimate,moe
42001,"Adams County, Pennsylvania",B01003_001,102470,
42003,"Allegheny County, Pennsylvania",B01003_001,1221744,
42005,"Armstrong County, Pennsylvania",B01003_001,65867,
42007,"Beaver County, Pennsylvania",B01003_001,165833,
42009,"Bedford County, Pennsylvania",B01003_001,48337,
42011,"Berks County, Pennsylvania",B01003_001,418025,
42013,"Blair County, Pennsylvania",B01003_001,123157,
42015,"Bradford County, Pennsylvania",B01003_001,60963,
42017,"Bucks County, Pennsylvania",B01003_001,626806,
42019,"Butler County, Pennsylvania",B01003_001,186899,
42021,"Cambria County, Pennsylvania",B01003_001,133009,
42023,"Cameron County, Pennsylvania",B01003_001,4611,
42025,"Carbon County, Pennsylvania",B01003_001,63887,
42027,"Centre County, Pennsylvania",B01003_001,161960,
42029,"Chester County, Pennsylvania",B01003_001,519560,
42031,"Clarion County, Pennsylvania",B01003_001,38715,
42033,"Clearfield County, Pennsylvania",B01003_001,79908,
42035,"Clinton County, Pennsylvania",B01003_001,38915,
42037,"Columbia County, Pennsylvania",B01003_001,65715,
42039,"Crawford County, Pennsylvania",B01003_001,85665,
42041,"Cumberland County, Pennsylvania",B01003_001,249328,
42043,"Dauphin County, Pennsylvania",B01003_001,275632,
42045,"Delaware County, Pennsylvania",B01003_001,564554,
42047,"Elk County, Pennsylvania",B01003_001,30340,
42049,"Erie County, Pennsylvania",B01003_001,273835,
42051,"Fayette County, Pennsylvania",B01003_001,131302,
42053,"Forest County, Pennsylvania",B01003_001,7313,
42055,"Franklin County, Pennsylvania",B01003_001,154147,
42057,"Fulton County, Pennsylvania",B01003_001,14506,
42059,"Greene County, Pennsylvania",B01003_001,36870,
42061,"Huntingdon County, Pennsylvania",B01003_001,45369,
42063,"Indiana County, Pennsylvania",B01003_001,85032,
42065,"Jefferson County, Pennsylvania",B01003_001,43846,
42067,"Juniata County, Pennsylvania",B01003_001,24624,
42069,"Lackawanna County, Pennsylvania",B01003_001,210652,
42071,"Lancaster County, Pennsylvania",B01003_001,540999,
42073,"Lawrence County, Pennsylvania",B01003_001,86727,
42075,"Lebanon County, Pennsylvania",B01003_001,139729,
42077,"Lehigh County, Pennsylvania",B01003_001,365052,
42079,"Luzerne County, Pennsylvania",B01003_001,317663,
42081,"Lycoming County, Pennsylvania",B01003_001,114330,
42083,"McKean County, Pennsylvania",B01003_001,41401,
42085,"Mercer County, Pennsylvania",B01003_001,111518,
42087,"Mifflin County, Pennsylvania",B01003_001,46276,
42089,"Monroe County, Pennsylvania",B01003_001,168032,
42091,"Montgomery County, Pennsylvania",B01003_001,823823,
42093,"Montour County, Pennsylvania",B01003_001,18259,
42095,"Northampton County, Pennsylvania",B01003_001,302809,
42097,"Northumberland County, Pennsylvania",B01003_001,91761,
42099,"Perry County, Pennsylvania",B01003_001,46053,
42101,"Philadelphia County, Pennsylvania",B01003_001,1579075,
42103,"Pike County, Pennsylvania",B01003_001,55453,
42105,"Potter County, Pennsylvania",B01003_001,16806,
42107,"Schuylkill County, Pennsylvania",B01003_001,142674,
42109,"Snyder County, Pennsylvania",B01003_001,40483,
42111,"Somerset County, Pennsylvania",B01003_001,74361,
42113,"Sullivan County, Pennsylvania",B01003_001,6135,
42115,"Susquehanna County, Pennsylvania",B01003_001,40970,
42117,"Tioga County, Pennsylvania",B01003_001,40944,
42119,"Union County, Pennsylvania",B01003_001,45111,
42121,"Venango County, Pennsylvania",B01003_001,51818,
42123,"Warren County, Pennsylvania",B01003_001,39756,
42125,"Washington County, Pennsylvania",B01003_001,207212,
42127,"Wayne County, Pennsylvania",B01003_001,51422,
42129,"Westmoreland County, Pennsylvania",B01003_001,352590,
42131,"Wyoming County, Pennsylvania",B01003_001,27327,
42133,"York County, Pennsylvania",B01003_001,445565,
