GEOID,NAME,variable,estimate,moe
45001,"Abbeville County, South Carolina",B01003_001,24627,
45003,"Aiken County, South Carolina",B01003_001,168301,
45005,"Allendale County, South Carolina",B01003_001,9024,
45007,"Anderson County, South Carolina",B01003_001,198064,
45009,"Bamberg County, South Carolina",B01003_001,14376,
45011,"Barnwell County, South Carolina",B01003_001,21346,
45013,"Beaufort County, South Carolina",B01003_001,186095,
45015,"Berkeley County, South Carolina",B01003_001,215044,
45017,"Calhoun County, South Carolina",B01003_001,14663,
45019,"Charleston County, South Carolina",B01003_001,401165,
45021,"Cherokee County, South Carolina",B01003_001,56895,
45023,"Chester County, South Carolina",B01003_001,32311,
45025,"Chesterfield County, South Carolina",B01003_001,45953,
45027,"Clarendon County, South Carolina",B01003_001,33957,
45029,"Colleton County, South Carolina",B01003_001,37585,
45031,"Darlington County, South Carolina",B01003_001,67027,
45033,"Dillon County, South Carolina",B01003_001,30689,
45035,"Dorchester County, South Carolina",B01003_001,158299,
45037,"Edgefield County, South Carolina",B01003_001,26927,
45039,"Fairfield County, South Carolina",B01003_001,22565,
45041,"Florence County, South Carolina",B01003_001,138475,
45043,"Georgetown County, South Carolina",B01003_001,61952,
45045,"Greenville County, South Carolina",B01003_001,507003,
45047,"Greenwood County, South Carolina",B01003_001,70411,
45049,"Hampton County, South Carolina",B01003_001,19564,
45051,"Horry County, South Carolina",B01003_001,332172,
45053,"Jasper County, South Carolina",B01003_001,28657,
45055,"Kershaw County, South Carolina",B01003_001,65112,
45057,"Lancaster County, South Carolina",B01003_001,92308,
45059,"Laurens County, South Carolina",B01003_001,66846,
45061,"Lee County, South Carolina",B01003_001,17365,
45063,"Lexington County, South Carolina",B01003_001,290278,
45065,"McCormick County, South Carolina",B01003_001,9531,
45067,"Marion County, South Carolina",B01003_001,31308,
45069,"Marlboro County, South Carolina",B01003_001,26753,
45071,"Newberry County, South Carolina",B01003_001,38194,
45073,"Oconee County, South Carolina",B01003_001,77528,
45075,"Orangeburg County, South Carolina",B01003_001,87687,
45077,"Pickens County, South Carolina",B01003_001,124029,
45079,"Richland County, South Carolina",B01003_001,411357,
45081,"Saluda County, South Carolina",B01003_001,20303,
45083,"Spartanburg County, South Carolina",B01003_001,307617,
45085,"Sumter County, South Carolina",B01003_001,106757,
45087,"Union County, South Carolina",B01003_001,27490,
45089,"Williamsburg County, South Carolina",B01003_001,31324,
45091,"York County, South Carolina",B01003_001,265872,
