GEOID,NAME,variable,estimate,moe
46003,"Aurora County, South Dakota",B01003_001,2763,
46005,"Beadle County, South Dakota",B01003_001,18346,
46007,"Bennett County, South Dakota",B01003_001,3425,
46009,"Bon Homme County, South Dakota",B01003_001,6929,
46011,"Brookings County, South Dakota",B01003_001,34601,
46013,"Brown County, South Dakota",B01003_001,38915,
46015,"Brule County, South Dakota",B01003_001,5258,
46017,"Buffalo County, South Dakota",B01003_001,2026,
46019,"Butte County, South Dakota",B01003_001,10225,
46021,"Campbell County, South Dakota",B01003_001,1485,103
46023,"Charles Mix County, South Dakota",B01003_001,9349,
46025,"Clark County, South Dakota",B01003_001,3685,
46027,"Clay County, South Dakota",B01003_001,13957,
46029,"Codington County, South Dakota",B01003_001,28026,
46031,"Corson County, South Dakota",B01003_001,4150,
46033,"Custer County, South Dakota",B01003_001,8719,
46035,"Davison County, South Dakota",B01003_001,19871,
46037,"Day County, South Dakota",B01003_001,5486,
46039,"Deuel County, South Dakota",B01003_001,4318,
46041,"Dewey County, South Dakota",B01003_001,5833,
46043,"Douglas County, South Dakota",B01003_001,2929,
46045,"Edmunds County, South Dakota",B01003_001,3909,
46047,"Fall River County, South Dakota",B01003_001,6747,
46049,"Faulk County, South Dakota",B01003_001,2312,
46051,"Grant County, South Dakota",B01003_001,7149,
46053,"Gregory County, South Dakota",B01003_001,4186,
46055,"Haakon County, South Dakota",B01003_001,2018,119
46057,"Hamlin County, South Dakota",B01003_001,6025,
46059,"Hand County, South Dakota",B01003_001,3256,111
46061,"Hanson County, South Dakota",B01003_001,3399,
46063,"Harding County, South Dakota",B01003_001,1306,114
46065,"Hughes County, South Dakota",B01003_001,17608,
46067,"Hutchinson County, South Dakota",B01003_001,7308,
46069,"Hyde County, South Dakota",B01003_001,1319,111
46071,"Jackson County, South Dakota",B01003_001,3290,
46073,"Jerauld County, South Dakota",B01003_001,2018,
46075,"Jones County, South Dakota",B01003_001,793,119
46077,"Kingsbury County, South Dakota",B01003_001,4944,
46079,"Lake County, South Dakota",B01003_001,12717,
46081,"Lawrence County, South Dakota",B01003_001,25478,
46083,"Lincoln County, South Dakota",B01003_001,56826,
46085,"Lyman County, South Dakota",B01003_001,3848,
46087,"McCook County, South Dakota",B01003_001,5548,
46089,"McPherson County, South Dakota",B01003_001,2297,103
46091,"Marshall County, South Dakota",B01003_001,4891,
46093,"Meade County, South Dakota",B01003_001,27717,
46095,"Mellette County, South Dakota",B01003_001,2052,
46097,"Miner County, South Dakota",B01003_001,2211,
46099,"Minnehaha County, South Dakota",B01003_001,188674,
46101,"Moody County, South Dakota",B01003_001,6507,
46102,"Oglala Lakota County, South Dakota",B01003_001,14335,
46103,"Pennington County, South Dakota",B01003_001,110685,
46105,"Perkins County, South Dakota",B01003_001,2897,114
46107,"Potter County, South Dakota",B01003_001,2315,104
46109,"Roberts County, South Dakota",B01003_001,10287,
46111,"Sanborn County, South Dakota",B01003_001,2379,
46115,"Spink County, South Dakota",B01003_001,6483,
46117,"Stanley County, South Dakota",B01003_001,3017,
46119,"Sully County, South Dakota",B01003_001,1305,104
46121,"Todd County, South Dakota",B01003_001,10195,
46123,"Tripp County, South Dakota",B01003_001,5458,
46125,"Turner County, South Dakota",B01003_001,8300,
46127,"Union County, South Dakota",B01003_001,15368,
46129,"Walworth County, South Dakota",B01003_001,5457,
46135,"Yankton County, South Dakota",B01003_001,22717,
46137,"Ziebach County, South Dakota",B01003_001,2791,
