GEOID,NAME,variable,estimate,moe
47001,"Anderson County, Tennessee",B01003_001,76061,
47003,"Bedford County, Tennessee",B01003_001,48292,
47005,"Benton County, Tennessee",B01003_001,16140,
47007,"Bledsoe County, Tennessee",B01003_001,14836,
47009,"Blount County, Tennessee",B01003_001,129927,
47011,"Bradley County, Tennessee",B01003_001,105749,
47013,"Campbell County, Tennessee",B01003_001,39797,
47015,"Cannon County, Tennessee",B01003_001,14178,
47017,"Carroll County, Tennessee",B01003_001,27886,
47019,"Carter County, Tennessee",B01003_001,56433,
47021,"Cheatham County, Tennessee",B01003_001,40181,
47023,"Chester County, Tennessee",B01003_001,17190,
47025,"Claiborne County, Tennessee",B01003_001,31732,
47027,"Clay County, Tennessee",B01003_001,7654,
47029,"Cocke County, Tennessee",B01003_001,35552,
47031,"Coffee County, Tennessee",B01003_001,55209,
47033,"Crockett County, Tennessee",B01003_001,14399,
47035,"Cumberland County, Tennessee",B01003_001,59216,
47037,"Davidson County, Tennessee",B01003_001,687488,
47039,"Decatur County, Tennessee",B01003_001,11686,
47041,"DeKalb County, Tennessee",B01003_001,19847,
47043,"Dickson County, Tennessee",B01003_001,52680,
47045,"Dyer County, Tennessee",B01003_001,37416,
47047,"Fayette County, Tennessee",B01003_001,40164,
47049,"Fentress County, Tennessee",B01003_001,18213,
47051,"Franklin County, Tennessee",B01003_001,41725,
47053,"Gibson County, Tennessee",B01003_001,49228,
47055,"Giles County, Tennessee",B01003_001,29285,
47057,"Grainger County, Tennessee",B01003_001,23101,
47059,"Greene County, Tennessee",B01003_001,68834,
47061,"Grundy County, Tennessee",B01003_001,13344,
47063,"Hamblen County, Tennessee",B01003_001,64132,
47065,"Hamilton County, Tennessee",B01003_001,360919,
47067,"Hancock County, Tennessee",B01003_001,6587,
47069,"Hardeman County, Tennessee",B01003_001,25443,
47071,"Hardin County, Tennessee",B01003_001,25715,
47073,"Hawkins County, Tennessee",B01003_001,56611,
47075,"Haywood County, Tennessee",B01003_001,17623,
47077,"Henderson County, Tennessee",B01003_001,27977,
47079,"Henry County, Tennessee",B01003_001,32284,
47081,"Hickman County, Tennessee",B01003_001,24813,
47083,"Houston County, Tennessee",B01003_001,8164,
47085,"Humphreys County, Tennessee",B01003_001,18435,
47087,"Jackson County, Tennessee",B01003_001,11682,
47089,"Jefferson County, Tennessee",B01003_001,53679,
47091,"Johnson County, Tennessee",B01003_001,17753,
47093,"Knox County, Tennessee",B01003_001,461104,
47095,"Lake County, Tennessee",B01003_001,7401,
47097,"Lauderdale County, Tennessee",B01003_001,25989,
47099,"Lawrence County, Tennessee",B01003_001,43390,
47101,"Lewis County, Tennessee",B01003_001,12027,
47103,"Lincoln County, Tennessee",B01003_001,33924,
47105,"Loudon County, Tennessee",B01003_001,52340,
47107,"McMinn County, Tennessee",B01003_001,53053,
47109,"McNairy County, Tennessee",B01003_001,25844,
47111,"Macon County, Tennessee",B01003_001,23842,
47113,"Madison County, Tennessee",B01003_001,97625,
47115,"Marion County, Tennessee",B01003_001,28538,
47117,"Marshall County, Tennessee",B01003_001,32965,
47119,"Maury County, Tennessee",B01003_001,91976,
47121,"Meigs County, Tennessee",B01003_001,12104,
47123,"Monroe County, Tennessee",B01003_001,46064,
47125,"Montgomery County, Tennessee",B01003_001,200180,
47127,"Moore County, Tennessee",B01003_001,6378,
47129,"Morgan County, Tennessee",B01003_001,21545,
47131,"Obion County, Tennessee",B01003_001,30365,
47133,"Overton County, Tennessee",B01003_001,22068,
47135,"Perry County, Tennessee",B01003_001,7962,
47137,"Pickett County, Tennessee",B01003_001,5079,
47139,"Polk County, Tennessee",B01003_001,16814,
47141,"Putnam County, Tennessee",B01003_001,77447,
47143,"Rhea County, Tennessee",B01003_001,32719,
47145,"Roane County, Tennessee",B01003_001,53075,
47147,"Robertson County, Tennessee",B01003_001,70280,
47149,"Rutherford County, Tennessee",B01003_001,315815,
47151,"Scott County, Tennessee",B01003_001,21969,
47153,"Sequatchie County, Tennessee",B01003_001,14816,
47155,"Sevier County, Tennessee",B01003_001,97068,
47157,"Shelby County, Tennessee",B01003_001,936374,
47159,"Smith County, Tennessee",B01003_001,19740,
47161,"Stewart County, Tennessee",B01003_001,13427,
47163,"Sullivan County, Tennessee",B01003_001,157050,
47165,"Sumner County, Tennessee",B01003_001,183437,
47167,"Tipton County, Tennessee",B01003_001,61447,
47169,"Trousdale County, Tennessee",B01003_001,10231,
47171,"Unicoi County, Tennessee",B01003_001,17811,
47173,"Union County, Tennessee",B01003_001,19488,
47175,"Van Buren County, Tennessee",B01003_001,5760,
47177,"Warren County, Tennessee",B01003_001,40702,
47179,"Washington County, Tennessee",B01003_001,127805,
47181,"Wayne County, Tennessee",B01003_001,16693,
47183,"Weakley County, Tennessee",B01003_001,33510,
47185,"White County, Tennessee",B01003_001,26800,
47187,"Williamson County, Tennessee",B01003_001,225389,
47189,"Wilson County, Tennessee",B01003_001,136666,
