GEOID,NAME,variable,estimate,moe
48001,"Anderson County, Texas",B01003_001,57810,
48003,"Andrews County, Texas",B01003_001,18036,
48005,"Angelina County, Texas",B01003_001,87322,
48007,"Aransas County, Texas",B01003_001,24462,
48009,"Archer County, Texas",B01003_001,8716,
48011,"Armstrong County, Texas",B01003_001,1973,102
48013,"Atascosa County, Texas",B01003_001,49528,
48015,"Austin County, Texas",B01003_001,29764,
48017,"Bailey County, Texas",B01003_001,7100,
48019,"Bandera County, Texas",B01003_001,22215,
48021,"Bastrop County, Texas",B01003_001,84522,
48023,"Baylor County, Texas",B01003_001,3577,
48025,"Bee County, Texas",B01003_001,32611,
48027,"Bell County, Texas",B01003_001,348574,
48029,"Bexar County, Texas",B01003_001,1952843,
48031,"Blanco County, Texas",B01003_001,11478,
48033,"Borden County, Texas",B01003_001,613,132
48035,"Bosque County, Texas",B01003_001,18296,
48037,"Bowie County, Texas",B01003_001,93373,
48039,"Brazoria County, Texas",B01003_001,360677,
48041,"Brazos County, Texas",B01003_001,222981,
48043,"Brewster County, Texas",B01003_001,9231,
48045,"Briscoe County, Texas",B01003_001,1457,135
48047,"Brooks County, Texas",B01003_001,7141,
48049,"Brown County, Texas",B01003_001,37855,
48051,"Burleson County, Texas",B01003_001,18058,
48053,"Burnet County, Texas",B01003_001,46530,
48055,"Caldwell County, Texas",B01003_001,42144,
48057,"Calhoun County, Texas",B01003_001,21668,
48059,"Callahan County, Texas",B01003_001,13856,
48061,"Cameron County, Texas",B01003_001,421666,
48063,"Camp County, Texas",B01003_001,12878,
48065,"Carson County, Texas",B01003_001,6009,
48067,"Cass County, Texas",B01003_001,30059,
48069,"Castro County, Texas",B01003_001,7673,
48071,"Chambers County, Texas",B01003_001,41305,
48073,"Cherokee County, Texas",B01003_001,52118,
48075,"Childress County, Texas",B01003_001,7253,
48077,"Clay County, Texas",B01003_001,10403,
48079,"Cochran County, Texas",B01003_001,2887,
48081,"Coke County, Texas",B01003_001,3303,
48083,"Coleman County, Texas",B01003_001,8334,
48085,"Collin County, Texas",B01003_001,973977,
48087,"Collingsworth County, Texas",B01003_001,2969,
48089,"Colorado County, Texas",B01003_001,21224,
48091,"Comal County, Texas",B01003_001,141642,
48093,"Comanche County, Texas",B01003_001,13529,
48095,"Concho County, Texas",B01003_001,3266,
48097,"Cooke County, Texas",B01003_001,40041,
48099,"Coryell County, Texas",B01003_001,75280,
48101,"Cottle County, Texas",B01003_001,1642,199
48103,"Crane County, Texas",B01003_001,4802,
48105,"Crockett County, Texas",B01003_001,3484,219
48107,"Crosby County, Texas",B01003_001,5836,
48109,"Culberson County, Texas",B01003_001,2214,
48111,"Dallam County, Texas",B01003_001,7304,
48113,"Dallas County, Texas",B01003_001,2606868,
48115,"Dawson County, Texas",B01003_001,12813,
48117,"Deaf Smith County, Texas",B01003_001,18736,
48119,"Delta County, Texas",B01003_001,5249,
48121,"Denton County, Texas",B01003_001,833822,
48123,"DeWitt County, Texas",B01003_001,20340,
48125,"Dickens County, Texas",B01003_001,2203,
48127,"Dimmit County, Texas",B01003_001,10438,
48129,"Donley County, Texas",B01003_001,3342,
48131,"Duval County, Texas",B01003_001,11268,
48133,"Eastland County, Texas",B01003_001,18273,
48135,"Ector County, Texas",B01003_001,160579,
48137,"Edwards County, Texas",B01003_001,1918,171
48139,"Ellis County, Texas",B01003_001,173772,
48141,"El Paso County, Texas",B01003_001,836062,
48143,"Erath County, Texas",B01003_001,41841,
48145,"Falls County, Texas",B01003_001,17272,
48147,"Fannin County, Texas",B01003_001,34537,
48149,"Fayette County, Texas",B01003_001,25141,
48151,"Fisher County, Texas",B01003_001,3856,
48153,"Floyd County, Texas",B01003_001,5803,
