GEOID,NAME,variable,estimate,moe
49001,"Beaver County, Utah",B01003_001,6517,
49003,"Box Elder County, Utah",B01003_001,53946,
49005,"Cache County, Utah",B01003_001,124165,
49007,"Carbon County, Utah",B01003_001,20308,
49009,"Daggett County, Utah",B01003_001,613,153
49011,"Davis County, Utah",B01003_001,345767,
49013,"Duchesne County, Utah",B01003_001,20148,
49015,"Emery County, Utah",B01003_001,10117,
49017,"Garfield County, Utah",B01003_001,4998,
49019,"Grand County, Utah",B01003_001,9640,
49021,"Iron County, Utah",B01003_001,51213,
49023,"Juab County, Utah",B01003_001,11301,
49025,"Kane County, Utah",B01003_001,7484,
49027,"Millard County, Utah",B01003_001,12854,
49029,"Morgan County, Utah",B01003_001,11664,
49031,"Piute County, Utah",B01003_001,1866,153
49033,"Rich County, Utah",B01003_001,2389,
49035,"Salt Lake County, Utah",B01003_001,1133646,
49037,"San Juan County, Utah",B01003_001,15302,
49039,"Sanpete County, Utah",B01003_001,29850,
49041,"Sevier County, Utah",B01003_001,21280,
49043,"Summit County, Utah",B01003_001,41103,
49045,"Tooele County, Utah",B01003_001,67397,
49047,"Uintah County, Utah",B01003_001,36084,
49049,"Utah County, Utah",B01003_001,605490,
49051,"Wasatch County, Utah",B01003_001,31708,
49053,"Washington County, Utah",B01003_001,165811,
49055,"Wayne County, Utah",B01003_001,2689,
49057,"Weber County, Utah",B01003_001,251498,
