GEOID,NAME,variable,estimate,moe
50001,"Addison County, Vermont",B01003_001,36882,
50003,"Bennington County, Vermont",B01003_001,35746,
50005,"Caledonia County, Vermont",B01003_001,30234,
50007,"Chittenden County, Vermont",B01003_001,162646,
50009,"Essex County, Vermont",B01003_001,6200,
50011,"Franklin County, Vermont",B01003_001,49116,
50013,"Grand Isle County, Vermont",B01003_001,7022,
50015,"Lamoille County, Vermont",B01003_001,25318,
50017,"Orange County, Vermont",B01003_001,28908,
50019,"Orleans County, Vermont",B01003_001,26901,
50021,"Rutland County, Vermont",B01003_001,58892,
50023,"Washington County, Vermont",B01003_001,58350,
50025,"Windham County, Vermont",B01003_001,42823,
50027,"Windsor County, Vermont",B01003_001,55275,
