GEOID,NAME,variable,estimate,moe
51001,"Accomack County, Virginia",B01003_001,32673,
51003,"Albemarle County, Virginia",B01003_001,107405,
51005,"Alleghany County, Virginia",B01003_001,15157,
51007,"Amelia County, Virginia",B01003_001,12953,
51009,"Amherst County, Virginia",B01003_001,31775,
51011,"Appomattox County, Virginia",B01003_001,15707,
51013,"Arlington County, Virginia",B01003_001,233464,
51015,"Augusta County, Virginia",B01003_001,75079,
51017,"Bath County, Virginia",B01003_001,4307,
51019,"Bedford County, Virginia",B01003_001,78376,
51021,"Bland County, Virginia",B01003_001,6388,
51023,"Botetourt County, Virginia",B01003_001,33343,
51025,"Brunswick County, Virginia",B01003_001,16520,
51027,"Buchanan County, Virginia",B01003_001,21788,
51029,"Buckingham County, Virginia",B01003_001,17059,
51031,"Campbell County, Virginia",B01003_001,55225,
51033,"Caroline County, Virginia",B01003_001,30381,
51035,"Carroll County, Virginia",B01003_001,29801,
51036,"Charles City County, Virginia",B01003_001,7014,
51037,"Charlotte County, Virginia",B01003_001,12040,
51041,"Chesterfield County, Virginia",B01003_001,343551,
51043,"Clarke County, Virginia",B01003_001,14423,
51045,"Craig County, Virginia",B01003_001,5110,
51047,"Culpeper County, Virginia",B01003_001,51101,
51049,"Cumberland County, Virginia",B01003_001,9824,
51051,"Dickenson County, Virginia",B01003_001,14756,
51053,"Dinwiddie County, Virginia",B01003_001,28485,
51057,"Essex County, Virginia",B01003_001,10998,
51059,"Fairfax County, Virginia",B01003_001,1145862,
51061,"Fauquier County, Virginia",B01003_001,69728,
51063,"Floyd County, Virginia",B01003_001,15704,
51065,"Fluvanna County, Virginia",B01003_001,26594,
51067,"Franklin County, Virginia",B01003_001,56187,
51069,"Frederick County, Virginia",B01003_001,86415,
51071,"Giles County, Virginia",B01003_001,16772,
51073,"Gloucester County, Virginia",B01003_001,37222,
51075,"Goochland County, Virginia",B01003_001,22865,
51077,"Grayson County, Virginia",B01003_001,15742,
51079,"Greene County, Virginia",B01003_001,19519,
51081,"Greensville County, Virginia",B01003_001,11525,
51083,"Halifax County, Virginia",B01003_001,34552,
51085,"Hanover County, Virginia",B01003_001,105537,
51087,"Henrico County, Virginia",B01003_001,327535,
51089,"Henry County, Virginia",B01003_001,51308,
51091,"Highland County, Virginia",B01003_001,2204,
