GEOID,NAME,variable,estimate,moe
53001,"Adams County, Washington",B01003_001,19594,
53003,"Asotin County, Washington",B01003_001,22421,
53005,"Benton County, Washington",B01003_001,197518,
53007,"Chelan County, Washington",B01003_001,76229,
53009,"Clallam County, Washington",B01003_001,75392,
53011,"Clark County, Washington",B01003_001,473252,
53013,"Columbia County, Washington",B01003_001,3992,
53015,"Cowlitz County, Washington",B01003_001,106778,
53017,"Douglas County, Washington",B01003_001,42023,
53019,"Ferry County, Washington",B01003_001,7578,
53021,"Franklin County, Washington",B01003_001,92009,
53023,"Garfield County, Washington",B01003_001,2230,
53025,"Grant County, Washington",B01003_001,95502,
53027,"Grays Harbor County, Washington",B01003_001,72779,
53029,"Island County, Washington",B01003_001,82866,
53031,"Jefferson County, Washington",B01003_001,31285,
53033,"King County, Washington",B01003_001,2195502,
53035,"Kitsap County, Washington",B01003_001,265882,
53037,"Kittitas County, Washington",B01003_001,45897,
53039,"Klickitat County, Washington",B01003_001,21721,
53041,"Lewis County, Washington",B01003_001,78145,
53043,"Lincoln County, Washington",B01003_001,10574,
53045,"Mason County, Washington",B01003_001,63804,
53047,"Okanogan County, Washington",B01003_001,41842,
53049,"Pacific County, Washington",B01003_001,21688,
53051,"Pend Oreille County, Washington",B01003_001,13377,
53053,"Pierce County, Washington",B01003_001,877013,
53055,"San Juan County, Washington",B01003_001,16788,
53057,"Skagit County, Washington",B01003_001,125612,
53059,"Skamania County, Washington",B01003_001,11753,
53061,"Snohomish County, Washington",B01003_001,798808,
53063,"Spokane County, Washington",B01003_001,505505,
53065,"Stevens County, Washington",B01003_001,44655,
53067,"Thurston County, Washington",B01003_001,279711,
53069,"Wahkiakum County, Washington",B01003_001,4268,
53071,"Walla Walla County, Washington",B01003_001,60365,
53073,"Whatcom County, Washington",B01003_001,220821,
53075,"Whitman County, Washington",B01003_001,49231,
53077,"Yakima County, Washington",B01003_001,249697,
