GEOID,NAME,variable,estimate,moe
54001,"Barbour County, West Virginia",B01003_001,16633,
54003,"Berkeley County, West Virginia",B01003_001,115329,
54005,"Boone County, West Virginia",B01003_001,22368,
54007,"Braxton County, West Virginia",B01003_001,14190,
54009,"Brooke County, West Virginia",B01003_001,22459,
54011,"Cabell County, West Virginia",B01003_001,94339,
54013,"Calhoun County, West Virginia",B01003_001,7295,
54015,"Clay County, West Virginia",B01003_001,8709,
54017,"Doddridge County, West Virginia",B01003_001,8560,
54019,"Fayette County, West Virginia",B01003_001,43576,
54021,"Gilmer County, West Virginia",B01003_001,8041,
54023,"Grant County, West Virginia",B01003_001,11616,
54025,"Greenbrier County, West Virginia",B01003_001,35155,
54027,"Hampshire County, West Virginia",B01003_001,23309,
54029,"Hancock County, West Virginia",B01003_001,29383,
54031,"Hardy County, West Virginia",B01003_001,13805,
54033,"Harrison County, West Virginia",B01003_001,67908,
54035,"Jackson County, West Virginia",B01003_001,28907,
54037,"Jefferson County, West Virginia",B01003_001,56506,
54039,"Kanawha County, West Virginia",B01003_001,183279,
54041,"Lewis County, West Virginia",B01003_001,16166,
54043,"Lincoln County, West Virginia",B01003_001,20850,
54045,"Logan County, West Virginia",B01003_001,33154,
54047,"McDowell County, West Virginia",B01003_001,18661,
54049,"Marion County, West Virginia",B01003_001,56355,
54051,"Marshall County, West Virginia",B01003_001,31308,
54053,"Mason County, West Virginia",B01003_001,26820,
54055,"Mercer County, West Virginia",B01003_001,59919,
54057,"Mineral County, West Virginia",B01003_001,27167,
54059,"Mingo County, West Virginia",B01003_001,24290,
54061,"Monongalia County, West Virginia",B01003_001,105474,
54063,"Monroe County, West Virginia",B01003_001,13401,
54065,"Morgan County, West Virginia",B01003_001,17709,
54067,"Nicholas County, West Virginia",B01003_001,25078,
54069,"Ohio County, West Virginia",B01003_001,42143,
54071,"Pendleton County, West Virginia",B01003_001,7001,
54073,"Pleasants County, West Virginia",B01003_001,7482,
54075,"Pocahontas County, West Virginia",B01003_001,8450,
54077,"Preston County, West Virginia",B01003_001,33683,
54079,"Putnam County, West Virginia",B01003_001,56610,
54081,"Raleigh County, West Virginia",B01003_001,75252,
54083,"Randolph County, West Virginia",B01003_001,28930,
54085,"Ritchie County, West Virginia",B01003_001,9844,
54087,"Roane County, West Virginia",B01003_001,14020,
54089,"Summers County, West Virginia",B01003_001,12848,
54091,"Taylor County, West Virginia",B01003_001,16864,
54093,"Tucker County, West Virginia",B01003_001,6982,
54095,"Tyler County, West Virginia",B01003_001,8811,
54097,"Upshur County, West Virginia",B01003_001,24502,
54099,"Wayne County, West Virginia",B01003_001,40303,
54101,"Webster County, West Virginia",B01003_001,8386,
54103,"Wetzel County, West Virginia",B01003_001,15436,
54105,"Wirt County, West Virginia",B01003_001,5798,
54107,"Wood County, West Virginia",B01003_001,84960,
54109,"Wyoming County, West Virginia",B01003_001,21281,
