GEOID,NAME,variable,estimate,moe
55001,"Adams County, Wisconsin",B01003_001,20094,
55003,"Ashland County, Wisconsin",B01003_001,15617,
55005,"Barron County, Wisconsin",B01003_001,45229,
55007,"Bayfield County, Wisconsin",B01003_001,14993,
55009,"Brown County, Wisconsin",B01003_001,261368,
55011,"Buffalo County, Wisconsin",B01003_001,13126,
55013,"Burnett County, Wisconsin",B01003_001,15289,
55015,"Calumet County, Wisconsin",B01003_001,49928,
55017,"Chippewa County, Wisconsin",B01003_001,63892,
55019,"Clark County, Wisconsin",B01003_001,34579,
55021,"Columbia County, Wisconsin",B01003_001,57133,
55023,"Crawford County, Wisconsin",B01003_001,16235,
55025,"Dane County, Wisconsin",B01003_001,536078,
55027,"Dodge County, Wisconsin",B01003_001,87715,
55029,"Door County, Wisconsin",B01003_001,27472,
55031,"Douglas County, Wisconsin",B01003_001,43295,
55033,"Dunn County, Wisconsin",B01003_001,44759,
55035,"Eau Claire County, Wisconsin",B01003_001,103514,
55037,"Florence County, Wisconsin",B01003_001,4314,
55039,"Fond du Lac County, Wisconsin",B01003_001,102597,
55041,"Forest County, Wisconsin",B01003_001,8995,
55043,"Grant County, Wisconsin",B01003_001,51733,
55045,"Green County, Wisconsin",B01003_001,36896,
55047,"Green Lake County, Wisconsin",B01003_001,18755,
55049,"Iowa County, Wisconsin",B01003_001,23618,
55051,"Iron County, Wisconsin",B01003_001,5687,
55053,"Jackson County, Wisconsin",B01003_001,20522,
55055,"Jefferson County, Wisconsin",B01003_001,84701,
55057,"Juneau County, Wisconsin",B01003_001,26478,
55059,"Kenosha County, Wisconsin",B01003_001,168524,
55061,"Kewaunee County, Wisconsin",B01003_001,20387,
55063,"La Crosse County, Wisconsin",B01003_001,117894,
55065,"Lafayette County, Wisconsin",B01003_001,16715,
55067,"Langlade County, Wisconsin",B01003_001,19146,
55069,"Lincoln County, Wisconsin",B01003_001,27744,
55071,"Manitowoc County, Wisconsin",B01003_001,79185,
55073,"Marathon County, Wisconsin",B01003_001,135396,
55075,"Marinette County, Wisconsin",B01003_001,40391,
55077,"Marquette County, Wisconsin",B01003_001,15304,
55078,"Menominee County, Wisconsin",B01003_001,4558,
55079,"Milwaukee County, Wisconsin",B01003_001,951226,
55081,"Monroe County, Wisconsin",B01003_001,45771,
55083,"Oconto County, Wisconsin",B01003_001,37646,
55085,"Oneida County, Wisconsin",B01003_001,35381,
55087,"Outagamie County, Wisconsin",B01003_001,185700,
55089,"Ozaukee County, Wisconsin",B01003_001,88597,
55091,"Pepin County, Wisconsin",B01003_001,7265,
55093,"Pierce County, Wisconsin",B01003_001,41977,
55095,"Polk County, Wisconsin",B01003_001,43438,
55097,"Portage County, Wisconsin",B01003_001,70632,
55099,"Price County, Wisconsin",B01003_001,13416,
55101,"Racine County, Wisconsin",B01003_001,195602,
55103,"Richland County, Wisconsin",B01003_001,17459,
55105,"Rock County, Wisconsin",B01003_001,162152,
55107,"Rusk County, Wisconsin",B01003_001,14132,
55109,"St. Croix County, Wisconsin",B01003_001,88732,
55111,"Sauk County, Wisconsin",B01003_001,63922,
55113,"Sawyer County, Wisconsin",B01003_001,16399,
55115,"Shawano County, Wisconsin",B01003_001,40904,
55117,"Sheboygan County, Wisconsin",B01003_001,115178,
55119,"Taylor County, Wisconsin",B01003_001,20325,
55121,"Trempealeau County, Wisconsin",B01003_001,29499,
55123,"Vernon County, Wisconsin",B01003_001,30633,
55125,"Vilas County, Wisconsin",B01003_001,21751,
55127,"Walworth County, Wisconsin",B01003_001,103074,
55129,"Washburn County, Wisconsin",B01003_001,15688,
55131,"Washington County, Wisconsin",B01003_001,134925,
55133,"Waukesha County, Wisconsin",B01003_001,400475,
55135,"Waupaca County, Wisconsin",B01003_001,51245,
55137,"Waushara County, Wisconsin",B01003_001,24193,
55139,"Winnebago County, Wisconsin",B01003_001,170411,
55141,"Wood County, Wisconsin",B01003_001,73112,
