GEOID,NAME,variable,estimate,moe
56001,"Albany County, Wyoming",B01003_001,38390,
56003,"Big Horn County, Wyoming",B01003_001,11882,
56005,"Campbell County, Wyoming",B01003_001,47409,
56007,"Carbon County, Wyoming",B01003_001,15247,
56009,"Converse County, Wyoming",B01003_001,13921,
56011,"Crook County, Wyoming",B01003_001,7472,
56013,"Fremont County, Wyoming",B01003_001,39812,
56015,"Goshen County, Wyoming",B01003_001,13342,
56017,"Hot Springs County, Wyoming",B01003_001,4607,
56019,"Johnson County, Wyoming",B01003_001,8487,
56021,"Laramie County, Wyoming",B01003_001,98320,
56023,"Lincoln County, Wyoming",B01003_001,19274,
56025,"Natrona County, Wyoming",B01003_001,80333,
56027,"Niobrara County, Wyoming",B01003_001,2422,
56029,"Park County, Wyoming",B01003_001,29148,
56031,"Platte County, Wyoming",B01003_001,8582,
56033,"Sheridan County, Wyoming",B01003_001,30140,
56035,"Sublette County, Wyoming",B01003_001,9880,
56037,"Sweetwater County, Wyoming",B01003_001,43521,
56039,"Teton County, Wyoming",B01003_001,23280,
56041,"Uinta County, Wyoming",B01003_001,20479,
56043,"Washakie County, Wyoming",B01003_001,8027,
56045,"Weston County, Wyoming",B01003_001,7049,
